anon_userid,Timestamp,Answer Rank,Who Am I?,sorting,coder,Code,Valence
stu_AUQLX2144H,2022/05/16 2:27:30 PM AST,5,I am done with the toll,0.34771858899999997,clara,47,neutral
stu_AUQLX2144H,2022/05/16 2:27:30 PM AST,8,I am in math class,0.38121436799999997,clara,47,neutral
stu_AUQLX2144H,2022/05/16 2:27:30 PM AST,13,I am related to no one in vermont,0.41492119899999996,clara,48,none
stu_AUQLX2144H,2022/05/16 2:27:30 PM AST,6,I am going to not do ib,0.42064912,clara,14,negative
stu_AUQLX2144H,2022/05/16 2:27:30 PM AST,3,I am tall,0.42861378299999997,clara,35,neutral
stu_AUQLX2144H,2022/05/16 2:27:30 PM AST,2,I am filling out a survey,0.453483934,clara,47,neutral
stu_AUQLX2144H,2022/05/16 2:27:30 PM AST,11,I am a citizen,0.484350936,clara,8,citizen
stu_AUQLX2144H,2022/05/16 2:27:30 PM AST,1,[FIRST & LAST NAME],0.548999156,frank,5,none
stu_AUQLX2144H,2022/05/16 2:27:30 PM AST,16,I am a son,0.563937871,frank,12,neutral
stu_AUQLX2144H,2022/05/16 2:27:30 PM AST,16,I am a son,0.563937871,frank,2,boy
stu_AUQLX2144H,2022/05/16 2:27:30 PM AST,17,I am having trouble coming up with more answers,0.594048192,frank,47,neutral
stu_AUQLX2144H,2022/05/16 2:27:30 PM AST,10,I am a corner infielder,0.607095367,frank,29,neutral
stu_AUQLX2144H,2022/05/16 2:27:30 PM AST,15,I am a student,0.7010051709999999,frank,14,neutral
stu_AUQLX2144H,2022/05/16 2:27:30 PM AST,18,I am good at graphic design,0.727095339,frank,27,neutral
stu_AUQLX2144H,2022/05/16 2:27:30 PM AST,18,I am good at graphic design,0.727095339,frank,26,neutral
stu_AUQLX2144H,2022/05/16 2:27:30 PM AST,7,I am level 12 in Pokemon Go,0.740044075,frank,28,neutral
stu_AUQLX2144H,2022/05/16 2:27:30 PM AST,12,I am never using an iphone,0.7594740809999999,frank,27,negative
stu_AUQLX2144H,2022/05/16 2:27:30 PM AST,14,I am in [CITY],0.945720074,frank,9,not sure
stu_AUQLX2144H,2022/05/16 2:27:30 PM AST,4,I am 19% done with mathia,0.963170127,frank,47,neutral
stu_BUYXD2520P,2022/03/17 12:29:42 PM AST,6,I have a brother.,0.070097623,clara,12,neutral
stu_BUYXD2520P,2022/03/17 12:29:42 PM AST,7,I'm learning to drive in a year.,0.206375007,clara,31,neutral
stu_BUYXD2520P,2022/03/17 12:29:42 PM AST,2,I'm learning how to play guitar.,0.278088606,clara,26,neutral
stu_BUYXD2520P,2022/03/17 12:29:42 PM AST,12,My birthday is [DATE],0.399729839,clara,48,neutral
stu_BUYXD2520P,2022/03/17 12:29:42 PM AST,11,My favorite animal is a frog.,0.45032735700000004,clara,24,positive
stu_BUYXD2520P,2022/03/17 12:29:42 PM AST,13,,,,48,none
stu_BUYXD2520P,2022/03/17 12:29:42 PM AST,10,My favorite color is green.,0.554030794,frank,24,positive
stu_BUYXD2520P,2022/03/17 12:29:42 PM AST,15,,0.677380008,frank,48,none
stu_BUYXD2520P,2022/03/17 12:29:42 PM AST,8,I'm an artist.,0.7797252920000001,frank,26,neutral
stu_BUYXD2520P,2022/03/17 12:29:42 PM AST,5,I like rock/indie music.,0.815145784,frank,26,neutral
stu_BUYXD2520P,2022/03/17 12:29:42 PM AST,5,I like rock/indie music.,0.815145784,frank,24,positive
stu_BUYXD2520P,2022/03/17 12:29:42 PM AST,1,I'm 14 years old.,0.8607841409999999,frank,4,14 year old
stu_BUYXD2520P,2022/03/17 12:29:42 PM AST,9,I'm a writer.,0.8758329770000001,frank,25,neutral
stu_BUYXD2520P,2022/03/17 12:29:42 PM AST,14,,0.9018006829999999,frank,48,none
stu_BUYXD2520P,2022/03/17 12:29:42 PM AST,4,I can skateboard.,0.924060056,frank,29,neutral
stu_BUYXD2520P,2022/03/17 12:29:42 PM AST,3,I have a dog.,0.925940436,frank,32,none
stu_CDQME8338E,2022/03/15 6:02:03 PM AST,2,[FIRST & LAST NAME],0.12620867300000002,clara,5,none
stu_CDQME8338E,2022/03/15 6:02:03 PM AST,20,likes plain clothes,0.158036607,clara,24,positive
stu_CDQME8338E,2022/03/15 6:02:03 PM AST,10,a kid,0.18980028399999999,clara,22,kid
stu_CDQME8338E,2022/03/15 6:02:03 PM AST,10,a kid,0.18980028399999999,clara,4,kid
stu_CDQME8338E,2022/03/15 6:02:03 PM AST,8,has brown eyes,0.19868249300000002,clara,35,neutral
stu_CDQME8338E,2022/03/15 6:02:03 PM AST,18,funny sometimes,0.215475867,clara,44,positive
stu_CDQME8338E,2022/03/15 6:02:03 PM AST,18,simple,0.27798016600000003,clara,45,neutral
stu_CDQME8338E,2022/03/15 6:02:03 PM AST,6,straight,0.291452858,clara,3,straight
stu_CDQME8338E,2022/03/15 6:02:03 PM AST,16,short,0.43086277,clara,35,neutral
stu_CDQME8338E,2022/03/15 6:02:03 PM AST,4,has brown hair,0.44086602700000005,clara,35,neutral
stu_CDQME8338E,2022/03/15 6:02:03 PM AST,12,a quiet person sometimes,0.480703129,clara,44,neutral
stu_CDQME8338E,2022/03/15 6:02:03 PM AST,10,a person with find grades,0.503529585,clara,14,neutral
stu_CDQME8338E,2022/03/15 6:02:03 PM AST,12,Chinese,0.506513643,frank,7,chinese
stu_CDQME8338E,2022/03/15 6:02:03 PM AST,20,boring sometimes,0.586283212,frank,44,negative
stu_CDQME8338E,2022/03/15 6:02:03 PM AST,4,A girl,0.6157690570000001,frank,2,girl
stu_CDQME8338E,2022/03/15 6:02:03 PM AST,16,an introvert,0.648782463,frank,44,neutral
stu_CDQME8338E,2022/03/15 6:02:03 PM AST,14,A person who likes art,0.667651676,frank,26,neutral
stu_CDQME8338E,2022/03/15 6:02:03 PM AST,14,A person who likes art,0.667651676,frank,24,positive
stu_CDQME8338E,2022/03/15 6:02:03 PM AST,8,Not studious,0.689023543,frank,41,neutral
stu_CDQME8338E,2022/03/15 6:02:03 PM AST,14,an extrovert,0.7200495729999999,frank,44,neutral
stu_CDQME8338E,2022/03/15 6:02:03 PM AST,2,likes drawing,0.961220668,frank,26,neutral
stu_CDQME8338E,2022/03/15 6:02:03 PM AST,2,likes drawing,0.961220668,frank,24,positive
stu_CDQME8338E,2022/03/15 6:02:03 PM AST,6,13 years old,0.961319039,frank,4,13 year old
stu_DYWGH4533N,2022/03/15 5:13:53 PM AST,12,I am a black girl,0.112621311,clara,6,black
stu_DYWGH4533N,2022/03/15 5:13:53 PM AST,12,I am a black girl,0.112621311,clara,2,girl
stu_DYWGH4533N,2022/03/15 5:13:53 PM AST,6,I am a black girl,0.113759175,clara,6,black
stu_DYWGH4533N,2022/03/15 5:13:53 PM AST,6,I am a black girl,0.113759175,clara,2,girl
stu_DYWGH4533N,2022/03/15 5:13:53 PM AST,17,I am a black girl,0.17116199399999998,clara,6,black
stu_DYWGH4533N,2022/03/15 5:13:53 PM AST,17,I am a black girl,0.17116199399999998,clara,2,girl
stu_DYWGH4533N,2022/03/15 5:13:53 PM AST,18,I am a black girl,0.24104989699999999,clara,6,black
stu_DYWGH4533N,2022/03/15 5:13:53 PM AST,18,I am a black girl,0.24104989699999999,clara,2,girl
stu_DYWGH4533N,2022/03/15 5:13:53 PM AST,20,I am a black girl,0.310383132,clara,6,black
stu_DYWGH4533N,2022/03/15 5:13:53 PM AST,20,I am a black girl,0.310383132,clara,2,girl
stu_DYWGH4533N,2022/03/15 5:13:53 PM AST,14,I am a black girl,0.404720015,clara,6,black
stu_DYWGH4533N,2022/03/15 5:13:53 PM AST,14,I am a black girl,0.404720015,clara,2,girl
stu_DYWGH4533N,2022/03/15 5:13:53 PM AST,11,I am a black girl,0.40821080299999996,clara,6,black
stu_DYWGH4533N,2022/03/15 5:13:53 PM AST,11,I am a black girl,0.40821080299999996,clara,2,girl
stu_DYWGH4533N,2022/03/15 5:13:53 PM AST,19,I am a black girl,0.422319457,clara,6,black
stu_DYWGH4533N,2022/03/15 5:13:53 PM AST,19,I am a black girl,0.422319457,clara,2,girl
stu_DYWGH4533N,2022/03/15 5:13:53 PM AST,4,I am a black girl,0.428756436,clara,6,black
stu_DYWGH4533N,2022/03/15 5:13:53 PM AST,4,I am a black girl,0.428756436,clara,2,girl
stu_DYWGH4533N,2022/03/15 5:13:53 PM AST,13,I am a black girl,0.451554668,clara,6,black
stu_DYWGH4533N,2022/03/15 5:13:53 PM AST,13,I am a black girl,0.451554668,clara,2,girl
stu_DYWGH4533N,2022/03/15 5:13:53 PM AST,3,I am a black girl,0.49123234600000004,clara,6,black
stu_DYWGH4533N,2022/03/15 5:13:53 PM AST,3,I am a black girl,0.49123234600000004,clara,2,girl
stu_DYWGH4533N,2022/03/15 5:13:53 PM AST,8,I am a black girl,0.577042129,frank,6,black
stu_DYWGH4533N,2022/03/15 5:13:53 PM AST,8,I am a black girl,0.577042129,frank,2,girl
stu_DYWGH4533N,2022/03/15 5:13:53 PM AST,16,I am a black girl,0.670769602,frank,6,black
stu_DYWGH4533N,2022/03/15 5:13:53 PM AST,16,I am a black girl,0.670769602,frank,2,girl
stu_DYWGH4533N,2022/03/15 5:13:53 PM AST,9,I am a black girl,0.675799175,frank,6,black
stu_DYWGH4533N,2022/03/15 5:13:53 PM AST,9,I am a black girl,0.675799175,frank,2,girl
stu_DYWGH4533N,2022/03/15 5:13:53 PM AST,5,I am a black girl,0.716112675,frank,6,black
stu_DYWGH4533N,2022/03/15 5:13:53 PM AST,5,I am a black girl,0.716112675,frank,2,girl
stu_DYWGH4533N,2022/03/15 5:13:53 PM AST,15,I am a black girl,0.722305077,frank,6,black
stu_DYWGH4533N,2022/03/15 5:13:53 PM AST,15,I am a black girl,0.722305077,frank,2,girl
stu_DYWGH4533N,2022/03/15 5:13:53 PM AST,7,I am a black girl,0.84935452,frank,6,black
stu_DYWGH4533N,2022/03/15 5:13:53 PM AST,7,I am a black girl,0.84935452,frank,2,girl
stu_DYWGH4533N,2022/03/15 5:13:53 PM AST,2,I am a black girl,0.861444585,frank,6,black
stu_DYWGH4533N,2022/03/15 5:13:53 PM AST,2,I am a black girl,0.861444585,frank,2,girl
stu_DYWGH4533N,2022/03/15 5:13:53 PM AST,1,I am a black girl,0.886734224,frank,6,black
stu_DYWGH4533N,2022/03/15 5:13:53 PM AST,1,I am a black girl,0.886734224,frank,2,girl
stu_DYWGH4533N,2022/03/15 5:13:53 PM AST,10,I am a black girl,0.9465109290000001,frank,6,black
stu_DYWGH4533N,2022/03/15 5:13:53 PM AST,10,I am a black girl,0.9465109290000001,frank,2,girl
stu_EPPBQ3873F,2022/03/15 5:33:42 PM AST,5,I am quater Japanese,0.158978595,clara,7,japanese
stu_EPPBQ3873F,2022/03/15 5:33:42 PM AST,20,Im am man,0.159312021,clara,2,man
stu_EPPBQ3873F,2022/03/15 5:33:42 PM AST,13,I am trying to learn a new language,0.247365577,clara,31,neutral
stu_EPPBQ3873F,2022/03/15 5:33:42 PM AST,6,I am Greman,0.26307364,clara,7,german
stu_EPPBQ3873F,2022/03/15 5:33:42 PM AST,19,I am goodish at drawing,0.272904492,clara,26,positive
stu_EPPBQ3873F,2022/03/15 5:33:42 PM AST,3,A star wars nerd,0.289786294,clara,22,nerd
stu_EPPBQ3873F,2022/03/15 5:33:42 PM AST,10,I am someone with long hair I am someone who likes to cosplay,0.330807254,clara,35,neutral
stu_EPPBQ3873F,2022/03/15 5:33:42 PM AST,10,I am someone with long hair I am someone who likes to cosplay,0.330807254,clara,24,positive
stu_EPPBQ3873F,2022/03/15 5:33:42 PM AST,10,I am someone with long hair I am someone who likes to cosplay,0.330807254,clara,31,positive
stu_EPPBQ3873F,2022/03/15 5:33:42 PM AST,11,I am not good with social interactions,0.35181302600000003,clara,45,negative
stu_EPPBQ3873F,2022/03/15 5:33:42 PM AST,8,I am somone that dosent like to read,0.368747515,clara,25,negative
stu_EPPBQ3873F,2022/03/15 5:33:42 PM AST,8,I am somone that dosent like to read,0.368747515,clara,24,negative
stu_EPPBQ3873F,2022/03/15 5:33:42 PM AST,16,I am an anime fan,0.37762477899999997,clara,24,positive
stu_EPPBQ3873F,2022/03/15 5:33:42 PM AST,14,I am not good at fashion,0.42386392799999995,clara,30,negative
stu_EPPBQ3873F,2022/03/15 5:33:42 PM AST,9,I am a theme park nerd,0.44453882100000003,clara,22,nerd
stu_EPPBQ3873F,2022/03/15 5:33:42 PM AST,18,I am a bad at talking to new people,0.598526346,frank,44,negative
stu_EPPBQ3873F,2022/03/15 5:33:42 PM AST,4,a mostly A grade student,0.6395897079999999,frank,25,neutral
stu_EPPBQ3873F,2022/03/15 5:33:42 PM AST,4,a mostly A grade student,0.6395897079999999,frank,14,neutral
stu_EPPBQ3873F,2022/03/15 5:33:42 PM AST,17,I am an ok cook,0.690611443,frank,31,neutral
stu_EPPBQ3873F,2022/03/15 5:33:42 PM AST,12,I am not very good at sports,0.707719652,frank,29,neutral
stu_EPPBQ3873F,2022/03/15 5:33:42 PM AST,7,i am somtimes smart,0.754110101,frank,43,positive
stu_EPPBQ3873F,2022/03/15 5:33:42 PM AST,15,I am a Marvel fan,0.8738149470000001,frank,24,positive
stu_EPPBQ3873F,2022/03/15 5:33:42 PM AST,2,funny sometimes,0.9756531540000001,frank,44,positive
stu_EPPBQ3873F,2022/03/15 5:33:42 PM AST,1,[FIRST & LAST NAME],0.987986012,frank,5,none
stu_FRYMF1735S,2022/03/15 6:04:55 PM AST,12,I like tennis,0.040171299,clara,24,positive
stu_FRYMF1735S,2022/03/15 6:04:55 PM AST,15,I like going on vacations.,0.126362513,clara,31,positive
stu_FRYMF1735S,2022/03/15 6:04:55 PM AST,15,I like going on vacations.,0.126362513,clara,24,positive
stu_FRYMF1735S,2022/03/15 6:04:55 PM AST,17,I love listening to classical music,0.194109177,clara,26,positive
stu_FRYMF1735S,2022/03/15 6:04:55 PM AST,17,I love listening to classical music,0.194109177,clara,24,positive
stu_FRYMF1735S,2022/03/15 6:04:55 PM AST,14,I like swimming,0.20226563,clara,29,positive
stu_FRYMF1735S,2022/03/15 6:04:55 PM AST,14,I like swimming,0.20226563,clara,24,positive
stu_FRYMF1735S,2022/03/15 6:04:55 PM AST,16,I am a triliguist.,0.255935287,clara,22,trilingual
stu_FRYMF1735S,2022/03/15 6:04:55 PM AST,13,I hate running,0.276930716,clara,29,negative
stu_FRYMF1735S,2022/03/15 6:04:55 PM AST,13,I hate running,0.276930716,clara,24,negative
stu_FRYMF1735S,2022/03/15 6:04:55 PM AST,6,I am extroverted.,0.297623837,clara,44,neutral
stu_FRYMF1735S,2022/03/15 6:04:55 PM AST,19,"I like consider myself smart, although I'm not sure.",0.330851416,clara,43,positive
stu_FRYMF1735S,2022/03/15 6:04:55 PM AST,10,I enjoy eating food.,0.352914679,clara,24,positive
stu_FRYMF1735S,2022/03/15 6:04:55 PM AST,7,I am a lover of the arts.,0.40403334,clara,25,positive
stu_FRYMF1735S,2022/03/15 6:04:55 PM AST,7,I am a lover of the arts.,0.40403334,clara,24,positive
stu_FRYMF1735S,2022/03/15 6:04:55 PM AST,5,I identify as a heterosexual female.,0.40562962700000005,clara,3,female
stu_FRYMF1735S,2022/03/15 6:04:55 PM AST,5,I identify as a heterosexual female.,0.40562962700000005,clara,1,heterosexual
stu_FRYMF1735S,2022/03/15 6:04:55 PM AST,8,I am a writer.,0.457173148,clara,26,neutral
stu_FRYMF1735S,2022/03/15 6:04:55 PM AST,3,I am Moroccan-Italian.,0.45966558700000004,clara,7,moroccan-italian
stu_FRYMF1735S,2022/03/15 6:04:55 PM AST,1,I identify as female.,0.503779998,clara,1,female
stu_FRYMF1735S,2022/03/15 6:04:55 PM AST,20,I am young,0.507783996,frank,4,young
stu_FRYMF1735S,2022/03/15 6:04:55 PM AST,2,I identify as North African-American.,0.519234517,frank,7,north african-american
stu_FRYMF1735S,2022/03/15 6:04:55 PM AST,4,I am funny.,0.551191537,frank,46,positive
stu_FRYMF1735S,2022/03/15 6:04:55 PM AST,11,I enjoy doing mathematics.,0.5877530129999999,frank,25,neutral
stu_FRYMF1735S,2022/03/15 6:04:55 PM AST,11,I enjoy doing mathematics.,0.5877530129999999,frank,24,positive
stu_FRYMF1735S,2022/03/15 6:04:55 PM AST,18,I like watching television.,0.758637722,frank,27,neutral
stu_FRYMF1735S,2022/03/15 6:04:55 PM AST,18,I like watching television.,0.758637722,frank,24,positive
stu_FRYMF1735S,2022/03/15 6:04:55 PM AST,9,I am a student.,0.8104968359999999,frank,14,neutral
stu_HDDFY3165H,2022/03/15 1:58:30 PM AST,14,I am all out of pencils. Please lend me some.,0.008583295,clara,47,negative
stu_HDDFY3165H,2022/03/15 1:58:30 PM AST,5,I am a blonde.,0.015681611,clara,35,neutral
stu_HDDFY3165H,2022/03/15 1:58:30 PM AST,3,I'm a 13 year old,0.064888673,clara,4,13
stu_HDDFY3165H,2022/03/15 1:58:30 PM AST,17,I am [CHARACTER NAME] in the play.,0.090056622,clara,26,neutral
stu_HDDFY3165H,2022/03/15 1:58:30 PM AST,16,I am a student.,0.206014306,clara,14,neutral
stu_HDDFY3165H,2022/03/15 1:58:30 PM AST,7,I am a great volleyball player and softball player.,0.351170876,clara,29,positive
stu_HDDFY3165H,2022/03/15 1:58:30 PM AST,19,I am person who was not prepared to explore their identity for a 5$ amazon giftcard.,0.444457815,clara,47,negative
stu_HDDFY3165H,2022/03/15 1:58:30 PM AST,12,I am a trail runner.,0.48779487899999996,clara,29,neutral
stu_HDDFY3165H,2022/03/15 1:58:30 PM AST,18,"I am a gemini, therefor I have an amazing personality.",0.6063756220000001,frank,45,positive
stu_HDDFY3165H,2022/03/15 1:58:30 PM AST,18,"I am a gemini, therefor I have an amazing personality.",0.6063756220000001,frank,22,gemini
stu_HDDFY3165H,2022/03/15 1:58:30 PM AST,1,I am an athlete?,0.6227832870000001,frank,29,neutral
stu_HDDFY3165H,2022/03/15 1:58:30 PM AST,11,I am a girl.,0.65653272,frank,2,girl
stu_HDDFY3165H,2022/03/15 1:58:30 PM AST,9,I am a person scared about moving.,0.682772357,frank,47,negative
stu_HDDFY3165H,2022/03/15 1:58:30 PM AST,4,I am a person confused about this survey.,0.696274535,frank,47,neutral
stu_HDDFY3165H,2022/03/15 1:58:30 PM AST,8,I am broke.,0.715930792,frank,34,poor
stu_HDDFY3165H,2022/03/15 1:58:30 PM AST,13,I am happy.,0.751328868,frank,45,positive
stu_HDDFY3165H,2022/03/15 1:58:30 PM AST,6,I am an artist and performer.,0.801209753,frank,26,neutral
stu_HDDFY3165H,2022/03/15 1:58:30 PM AST,15,I am a walking dad joke dispenser.,0.804038673,frank,45,neutral
stu_HDDFY3165H,2022/03/15 1:58:30 PM AST,2,I'm [FIRST NAME],0.912052765,frank,5,none
stu_HDDFY3165H,2022/03/15 1:58:30 PM AST,10,I am a member of my community.,0.961728417,frank,22,not sure
stu_HDDFY3165H,2022/03/15 1:58:30 PM AST,20,I am feeling very accomplished for finishing this survey.,0.97724696,frank,47,positive
stu_HSPMF9210Q,2022/03/15 5:17:15 PM AST,7,Cool kid,0.059633585999999995,clara,46,positive
stu_HSPMF9210Q,2022/03/15 5:17:15 PM AST,7,Cool kid,0.059633585999999995,clara,4,kid
stu_HSPMF9210Q,2022/03/15 5:17:15 PM AST,7,Cool kid,0.059633585999999995,clara,22,kid
stu_HSPMF9210Q,2022/03/15 5:17:15 PM AST,2,[CLASSMATE'S FIRST & LAST NAME]'s plug,0.084204298,clara,10,positive
stu_HSPMF9210Q,2022/03/15 5:17:15 PM AST,6,[FIRST NAME INITIAL]-W69,0.10559885599999999,clara,5,none
stu_HSPMF9210Q,2022/03/15 5:17:15 PM AST,4,[FIRST NAME INITIAL & LAST NAME],0.136887851,clara,5,none
stu_HSPMF9210Q,2022/03/15 5:17:15 PM AST,13,[FIRST NAME & LAST INITAL],0.199403628,clara,5,none
stu_HSPMF9210Q,2022/03/15 5:17:15 PM AST,17,[VARIATION OF NAME],0.266852021,clara,5,none
stu_HSPMF9210Q,2022/03/15 5:17:15 PM AST,3,NBA Lil [NAME INITIAL],0.37018080600000003,clara,5,none
stu_HSPMF9210Q,2022/03/15 5:17:15 PM AST,10,[FIRST & LAST NAME],0.37289714700000004,clara,5,none
stu_HSPMF9210Q,2022/03/15 5:17:15 PM AST,20,[VARIATION OF NAME],0.373358342,clara,5,none
stu_HSPMF9210Q,2022/03/15 5:17:15 PM AST,8,[POPULAR VIDEO GAME],0.48294647399999996,clara,48,none
stu_HSPMF9210Q,2022/03/15 5:17:15 PM AST,19,[VARIATION OF NAME],0.48987266799999996,clara,5,none
stu_HSPMF9210Q,2022/03/15 5:17:15 PM AST,9,[FIRST NAME],0.574760525,frank,5,none
stu_HSPMF9210Q,2022/03/15 5:17:15 PM AST,15,[POPULAR VIDEO GAME],0.713758033,frank,28,neutral
stu_HSPMF9210Q,2022/03/15 5:17:15 PM AST,14,[FIRST INITIAL & LAST NAME],0.7801195740000001,frank,5,none
stu_HSPMF9210Q,2022/03/15 5:17:15 PM AST,18,[VARIATION OF NAME],0.819410998,frank,5,none
stu_HSPMF9210Q,2022/03/15 5:17:15 PM AST,1,[CLASSMATE'S FIRST & LAST NAME]'s mom,0.8542229459999999,frank,48,none
stu_HSPMF9210Q,2022/03/15 5:17:15 PM AST,5,The Big [FIRST NAME INITIAL],0.8670004570000001,frank,5,none
stu_HSPMF9210Q,2022/03/15 5:17:15 PM AST,16,[INTERNET USERNAME],0.9627870059999999,frank,27,neutral
stu_HSPMF9210Q,2022/03/15 5:17:15 PM AST,16,[INTERNET USERNAME],0.9627870059999999,frank,5,none
stu_HSPMF9210Q,2022/03/15 5:17:15 PM AST,11,[FIRST & LAST NAME],0.9645231009999999,frank,5,none
stu_HSPMF9210Q,2022/03/15 5:17:15 PM AST,12,[FIRST NAME],0.9816433520000001,frank,5,none
stu_IJDRZ1838Q,2022/03/15 5:15:54 PM AST,2,I am [FIRST & LAST NAME],0.106429358,clara,5,none
stu_IJDRZ1838Q,2022/03/15 5:15:54 PM AST,17,I am [FIRST & LAST NAME],0.12727380900000002,clara,5,none
stu_IJDRZ1838Q,2022/03/15 5:15:54 PM AST,15,I am [FIRST & LAST NAME],0.139099417,clara,5,none
stu_IJDRZ1838Q,2022/03/15 5:15:54 PM AST,5,I am [FIRST & LAST NAME],0.238015605,clara,5,none
stu_IJDRZ1838Q,2022/03/15 5:15:54 PM AST,3,I am [FIRST & LAST NAME],0.333907087,clara,5,none
stu_IJDRZ1838Q,2022/03/15 5:15:54 PM AST,6,I am [FIRST & LAST NAME],0.357914374,clara,5,none
stu_IJDRZ1838Q,2022/03/15 5:15:54 PM AST,14,I am [FIRST & LAST NAME],0.385107528,clara,5,none
stu_IJDRZ1838Q,2022/03/15 5:15:54 PM AST,19,I am [FIRST & LAST NAME],0.417088209,clara,5,none
stu_IJDRZ1838Q,2022/03/15 5:15:54 PM AST,4,I am [FIRST & LAST NAME],0.49516469399999996,clara,5,none
stu_IJDRZ1838Q,2022/03/15 5:15:54 PM AST,8,I am [FIRST & LAST NAME],0.594933798,frank,5,none
stu_IJDRZ1838Q,2022/03/15 5:15:54 PM AST,9,I am [FIRST & LAST NAME],0.595560534,frank,5,none
stu_IJDRZ1838Q,2022/03/15 5:15:54 PM AST,7,I am [FIRST & LAST NAME],0.606039033,frank,5,none
stu_IJDRZ1838Q,2022/03/15 5:15:54 PM AST,11,I am [FIRST & LAST NAME],0.660820161,frank,5,none
stu_IJDRZ1838Q,2022/03/15 5:15:54 PM AST,10,I am [FIRST & LAST NAME],0.702047392,frank,5,none
stu_IJDRZ1838Q,2022/03/15 5:15:54 PM AST,16,I am [FIRST & LAST NAME],0.7079171870000001,frank,5,none
stu_IJDRZ1838Q,2022/03/15 5:15:54 PM AST,12,I am [FIRST & LAST NAME],0.8053522120000001,frank,5,none
stu_IJDRZ1838Q,2022/03/15 5:15:54 PM AST,13,I am [FIRST & LAST NAME],0.809188021,frank,5,none
stu_IJDRZ1838Q,2022/03/15 5:15:54 PM AST,18,I am [FIRST & LAST NAME],0.9047542159999999,frank,5,none
stu_IJDRZ1838Q,2022/03/15 5:15:54 PM AST,1,I am [FIRST & LAST NAME],0.9101282279999999,frank,5,none
stu_IJDRZ1838Q,2022/03/15 5:15:54 PM AST,20,I am [FIRST & LAST NAME],0.9553928559999999,frank,5,none
stu_ISMGM5117Q,2022/03/15 1:57:42 PM AST,7,I am not mean,0.035408415,clara,44,positive
stu_ISMGM5117Q,2022/03/15 1:57:42 PM AST,16,....,0.068603899,clara,48,none
