stu_id,cls_id,sch_id,BROMP Observed?,variable,Who am I?,Random values for sorting,Rater Assigned,code,valence,note
stu_DERZZ01872,cls_GIJEF48865,sch_KACVP55227,,TST Respose 12,I have a snake,0.003106838,Clara,32,none,
stu_BESSB35006,cls_CIIPB03795,sch_RSWHG50450,YES,TST Respose 8,i like to talk to my friends,0.003284685,Clara,31,positive,
stu_BESSB35006,cls_CIIPB03795,sch_RSWHG50450,YES,TST Respose 8,i like to talk to my friends,0.003284685,Clara,10,positive,
stu_BESSB35006,cls_CIIPB03795,sch_RSWHG50450,YES,TST Respose 8,i like to talk to my friends,0.003284685,Clara,24,positive,
stu_SOWGI28002,cls_MAEBK64434,sch_QQLIR33891,,TST Respose 16,I am someone who loves water,0.003496579,Clara,24,positive,
stu_EHXGF51692,cls_OUMSN73782,sch_QQLIR33891,YES,TST Respose 1,I am a honor student.,0.003677328,Clara,14,positive,
stu_QQMSX84242,cls_TNHXN45809,sch_RSWHG50450,YES,TST Respose 16,a friend,0.003807374,Clara,10,neutral,
stu_CDXSC86692,cls_MAEBK64434,sch_QQLIR33891,,TST Respose 19,i am the person that loves to go outside,0.004260331,Clara,31,positive,
stu_CDXSC86692,cls_MAEBK64434,sch_QQLIR33891,,TST Respose 19,i am the person that loves to go outside,0.004260331,Clara,24,positive,
stu_MXNSF14478,cls_JYBSH30995,sch_QQLIR33891,,TST Respose 19,I have 9 siblings,0.004294846,Clara,12,neutral,
stu_FQKSK24193,cls_FBBRP25979,sch_QQLIR33891,,TST Respose 16,i have 2 brothers,0.004453959,Clara,12,neutral,
stu_EJIML93711,cls_AJBUO63250,sch_KACVP55227,,TST Respose 16,I like doing group work.,0.004454458,Clara,14,positive,
stu_NWRRN03456,cls_MCLLA54915,sch_KACVP55227,,TST Respose 5,I complete 13 assignment on MATH Stream.,0.004775885,Clara,14,neutral,
stu_CWJCN88700,cls_DLRQP13887,sch_QQLIR33891,,TST Respose 13,I am short compared to others,0.004898781,Clara,35,neutral,
stu_ABSGH36082,cls_JYBSH30995,sch_QQLIR33891,,TST Respose 13,I want a fish,0.005005422,Clara,33,none,
stu_FASQN45304,cls_MAEBK64434,sch_QQLIR33891,,TST Respose 4,I am someone who loves math.,0.005163853,Clara,25,positive,
stu_FASQN45304,cls_MAEBK64434,sch_QQLIR33891,,TST Respose 4,I am someone who loves math.,0.005163853,Clara,24,positive,
stu_SBUBU63586,cls_OUKFK08724,sch_RSWHG50450,YES,TST Respose 3,i am a student,0.00544023,Clara,14,neutral,
stu_XSQUV53095,cls_OUMSN73782,sch_QQLIR33891,YES,TST Respose 2,I AM [FIRST NAME] A STUDENT,0.005551533,Clara,14,neutral,
stu_XSQUV53095,cls_OUMSN73782,sch_QQLIR33891,YES,TST Respose 2,I AM [FIRST NAME] A STUDENT,0.005551533,Clara,5,none,
stu_ZARRQ26344,cls_JYBSH30995,sch_QQLIR33891,,TST Respose 14,I am a moms girl,0.005799935,Clara,12,neutral,
stu_ZARRQ26344,cls_JYBSH30995,sch_QQLIR33891,,TST Respose 14,I am a moms girl,0.005799935,Clara,2,girl,
stu_WWNBY52737,cls_OUMSN73782,sch_QQLIR33891,YES,TST Respose 15,I am an honors student.,0.005862623,Clara,14,positive,
stu_WEADW20158,cls_JYBSH30995,sch_QQLIR33891,,TST Respose 12,i like going out with my parents,0.0063524,Clara,24,positive,
stu_WEADW20158,cls_JYBSH30995,sch_QQLIR33891,,TST Respose 12,i like going out with my parents,0.0063524,Clara,12,positive,
stu_JVLXZ63894,cls_CIIPB03795,sch_RSWHG50450,YES,TST Respose 2,english student,0.006390995,Clara,14,neutral,
stu_VKCWY07846,cls_DLRQP13887,sch_QQLIR33891,,TST Respose 5,im a only child,0.006402252,Clara,22,onlychild,
stu_VKCWY07846,cls_DLRQP13887,sch_QQLIR33891,,TST Respose 5,im a only child,0.006402252,Clara,12,neutral,
stu_HBPKA70291,cls_CIIPB03795,sch_RSWHG50450,YES,TST Respose 12,call of duty player,0.006505484,Clara,28,neutral,
stu_IGLSS89625,cls_VFZRA31361,sch_KACVP55227,YES,TST Respose 11,i like my mom,0.007188715,Clara,12,positive,
stu_MXNSF14478,cls_JYBSH30995,sch_QQLIR33891,,TST Respose 3,I'm a 11 year old,0.008020813,Clara,4,11,
stu_VNSDU81090,cls_JYBSH30995,sch_QQLIR33891,,TST Respose 10,my favorite food is rice and chiken,0.00839801,Clara,24,positive,
stu_PUHUL75671,cls_HEZZN95002,sch_QQLIR33891,,TST Respose 10,[DATE POSSIBLE BIRTHDAY],0.008824922,Clara,48,neutral,
stu_IKUOQ66846,cls_USLPT75423,sch_QQLIR33891,YES,TST Respose 18,I like to do something when i'm bored,0.008834053,Clara,31,positive,
stu_IKUOQ66846,cls_USLPT75423,sch_QQLIR33891,YES,TST Respose 18,I like to do something when i'm bored,0.008834053,Clara,24,positive,
stu_HLKZL24322,cls_MAEBK64434,sch_QQLIR33891,,TST Respose 19,i like popcorn,0.009570636,Clara,24,positive,
stu_MTCIM85775,cls_TNHXN45809,sch_RSWHG50450,,TST Respose 20,A [CITY] resident,0.0100124,Clara,9,neutral,
stu_UHXBA77476,cls_FBBRP25979,sch_QQLIR33891,,TST Respose 12,l like butterflies,0.010686592,Clara,24,positive,
stu_FASQN45304,cls_MAEBK64434,sch_QQLIR33891,,TST Respose 3,I am someone who likes to run.,0.01087546,Clara,29,positive,
stu_FASQN45304,cls_MAEBK64434,sch_QQLIR33891,,TST Respose 3,I am someone who likes to run.,0.01087546,Clara,24,positive,
stu_FPTDO32773,cls_TNHXN45809,sch_RSWHG50450,YES,TST Respose 3,Girlfriend,0.010885561,Clara,11,neutral,
stu_RDPGG44681,cls_ZLIZG21375,sch_RSWHG50450,,TST Respose 12,I am truthful,0.011653195,Clara,40,positive,
stu_XSQUV53095,cls_OUMSN73782,sch_QQLIR33891,YES,TST Respose 6,I AM [FIRST NAME] A ANTISOCIAL,0.011877463,Clara,44,negative,
stu_XSQUV53095,cls_OUMSN73782,sch_QQLIR33891,YES,TST Respose 6,I AM [FIRST NAME] A ANTISOCIAL,0.011877463,Clara,5,neutral,
stu_DHTXQ91573,cls_VFZRA31361,sch_KACVP55227,YES,TST Respose 7,I am a students from 6 grades,0.012000676,Clara,22,6thgrade,
stu_DHTXQ91573,cls_VFZRA31361,sch_KACVP55227,YES,TST Respose 7,I am a students from 6 grades,0.012000676,Clara,4,6thgrade,
stu_DHTXQ91573,cls_VFZRA31361,sch_KACVP55227,YES,TST Respose 7,I am a students from 6 grades,0.012000676,Clara,14,neutral,
stu_CWQDV67579,cls_CIIPB03795,sch_RSWHG50450,YES,TST Respose 1,I am Christian,0.012109183,Clara,16,christian,
stu_UYUIH18635,cls_FBBRP25979,sch_QQLIR33891,,TST Respose 14,my favortie holiday is christmas,0.012891804,Clara,24,positive,
stu_PYEUW09959,cls_HEZZN95002,sch_QQLIR33891,,TST Respose 12,I like to go to dunkin' donuts,0.013195797,Clara,31,positive,
stu_PYEUW09959,cls_HEZZN95002,sch_QQLIR33891,,TST Respose 12,I like to go to dunkin' donuts,0.013195797,Clara,24,positive,
stu_MMZHT88458,cls_QZQQW97177,sch_KACVP55227,,TST Respose 20,i have long hair,0.013316948,Clara,35,neutral,
stu_KWMWG76590,cls_CXLDP17094,sch_KACVP55227,YES,TST Respose 9,i like hang out with my friends,0.013402267,Clara,31,positive,
stu_KWMWG76590,cls_CXLDP17094,sch_KACVP55227,YES,TST Respose 9,i like hang out with my friends,0.013402267,Clara,10,positive,
stu_KWMWG76590,cls_CXLDP17094,sch_KACVP55227,YES,TST Respose 9,i like hang out with my friends,0.013402267,Clara,24,positive,
stu_SJXEZ38047,cls_JYBSH30995,sch_QQLIR33891,,TST Respose 13,I speak 2 different languages,0.013624938,Clara,25,neutral,
stu_SJXEZ38047,cls_JYBSH30995,sch_QQLIR33891,,TST Respose 13,I speak 2 different languages,0.013624938,Clara,22,bilingual,
stu_TDURA35752,cls_USLPT75423,sch_QQLIR33891,YES,TST Respose 8,I am quiet,0.013822005,Clara,44,neutral,
stu_CAGAM03126,cls_HOJKW39162,sch_KACVP55227,YES,TST Respose 14,I am a person who likes to play games.,0.014003499,Clara,31,positive,
stu_CAGAM03126,cls_HOJKW39162,sch_KACVP55227,YES,TST Respose 14,I am a person who likes to play games.,0.014003499,Clara,24,positive,
stu_ORUUL82324,cls_FBBRP25979,sch_QQLIR33891,,TST Respose 9,My older brother is in military-basic training,0.014244321,Clara,12,neutral,
stu_FVHVM49769,cls_SLKYU63739,sch_QQLIR33891,YES,TST Respose 3,I am half brazilian,0.014661144,Clara,7,brazilian,
stu_WZRKM29688,cls_HEBLM24075,sch_KACVP55227,,TST Respose 2,im a sports player,0.014775019,Clara,29,neutral,
stu_XKMAG80800,cls_TNHXN45809,sch_RSWHG50450,YES,TST Respose 16,I like strawberry cheesecake.,0.014785483,Clara,24,positive,
stu_BJJXN95776,cls_MAEBK64434,sch_QQLIR33891,,TST Respose 18,I like homemade food,0.014901524,Clara,24,positive,
stu_IZQGI75719,cls_JYBSH30995,sch_QQLIR33891,,TST Respose 1,i like tv,0.015022889,Clara,24,positive,
stu_EHLZF06092,cls_MCLLA54915,sch_KACVP55227,YES,TST Respose 9,I don't like spanish class,0.015113065,Clara,24,negative,
stu_EHLZF06092,cls_MCLLA54915,sch_KACVP55227,YES,TST Respose 9,I don't like spanish class,0.015113065,Clara,14,negative,
stu_KFYJM61476,cls_SYHWK05211,sch_KACVP55227,YES,TST Respose 3,I like to wear sweaters.,0.015402884,Clara,24,positive,
stu_QHOON52054,cls_MCLLA54915,sch_KACVP55227,YES,TST Respose 20,I am done with this test and I am 5'4ft,0.015606833,Clara,47,neutral,
stu_QHOON52054,cls_MCLLA54915,sch_KACVP55227,YES,TST Respose 20,I am done with this test and I am 5'4ft,0.015606833,Clara,35,neutral,
stu_XCKNQ66212,cls_USLPT75423,sch_QQLIR33891,YES,TST Respose 1,im black,0.015872508,Clara,6,black,
stu_MMNSJ38829,cls_YLGBO89611,sch_KACVP55227,,TST Respose 1,I like to dance.,0.016351869,Clara,26,positive,
stu_MMNSJ38829,cls_YLGBO89611,sch_KACVP55227,,TST Respose 1,I like to dance.,0.016351869,Clara,24,positive,
stu_UAFAK64772,cls_AJBUO63250,sch_KACVP55227,YES,TST Respose 2,A 7th grade student,0.016506104,Clara,22,7thgrade,
stu_UAFAK64772,cls_AJBUO63250,sch_KACVP55227,YES,TST Respose 2,A 7th grade student,0.016506104,Clara,4,7thgrade,
stu_UAFAK64772,cls_AJBUO63250,sch_KACVP55227,YES,TST Respose 2,A 7th grade student,0.016506104,Clara,14,neutral,
stu_IKUOQ66846,cls_USLPT75423,sch_QQLIR33891,YES,TST Respose 14,I have cornrows,0.016732288,Clara,35,neutral,
stu_CPBCK00658,cls_SIVDJ49041,sch_KACVP55227,,TST Respose 15,I like babies,0.017023956,Clara,24,positive,
stu_FBWGP41232,cls_JYBSH30995,sch_QQLIR33891,,TST Respose 11,I like to sleep,0.017544342,Clara,31,positive,
stu_FBWGP41232,cls_JYBSH30995,sch_QQLIR33891,,TST Respose 11,I like to sleep,0.017544342,Clara,24,positive,
stu_CTAZU65504,cls_USLPT75423,sch_QQLIR33891,YES,TST Respose 9,I am Cape Verdean,0.017746828,Clara,7,cape verdean,
stu_VQFBG95862,cls_USLPT75423,sch_QQLIR33891,,TST Respose 18,i am a person with a dog,0.018155658,Clara,32,none,
stu_ABSGH36082,cls_JYBSH30995,sch_QQLIR33891,,TST Respose 14,I was born in April,0.018878814,Clara,22,april birthday,
stu_LJAAE92948,cls_ERQJB18593,sch_QQLIR33891,YES,TST Respose 20,I can't do my hair,0.018882043,Clara,30,negative,
stu_QACJQ31561,cls_JYBSH30995,sch_QQLIR33891,,TST Respose 10,i like jordans,0.019062651,Clara,30,positive,
stu_QACJQ31561,cls_JYBSH30995,sch_QQLIR33891,,TST Respose 10,i like jordans,0.019062651,Clara,24,positive,
stu_WWNBY52737,cls_OUMSN73782,sch_QQLIR33891,YES,TST Respose 6,I am a singer.,0.019233994,Clara,26,neutral,
stu_NWRRC44615,cls_JYBSH30995,sch_QQLIR33891,,TST Respose 5,i hang out with my friends,0.019446175,Clara,31,neutral,
stu_NWRRC44615,cls_JYBSH30995,sch_QQLIR33891,,TST Respose 5,i hang out with my friends,0.019446175,Clara,10,neutral,
stu_XHGVP79664,cls_HEZZN95002,sch_QQLIR33891,,TST Respose 4,Im white,0.019785979,Clara,6,white,
stu_SELBD60428,cls_AJBUO63250,sch_KACVP55227,,TST Respose 1,[FIRST LAST NAME],0.019850113,Clara,5,none,
stu_PKXZK94759,cls_JYBSH30995,sch_QQLIR33891,,TST Respose 5,I love music,0.019860392,Clara,24,positive,
stu_NJZBY59884,cls_MAEBK64434,sch_QQLIR33891,,TST Respose 8,i like to eat.,0.019952764,Clara,31,positive,
stu_NJZBY59884,cls_MAEBK64434,sch_QQLIR33891,,TST Respose 8,i like to eat.,0.019952764,Clara,24,positive,
stu_WXAMH04104,cls_FBBRP25979,sch_QQLIR33891,,TST Respose 2,i am 12 years old,0.020130519,Clara,4,12,
stu_LJAAE92948,cls_ERQJB18593,sch_QQLIR33891,YES,TST Respose 19,I'm a good sister,0.020577412,Clara,12,positive,
stu_LJAAE92948,cls_ERQJB18593,sch_QQLIR33891,YES,TST Respose 19,I'm a good sister,0.020577412,Clara,2,girl,
stu_DKGHS98193,cls_FXSNE83092,sch_QQLIR33891,,TST Respose 9,i have a baby brother i love alot,0.020591293,Clara,12,positive,
stu_MRIWT64391,cls_SYHWK05211,sch_KACVP55227,YES,TST Respose 1,A person who loves science,0.020628984,Clara,25,positive,
stu_MRIWT64391,cls_SYHWK05211,sch_KACVP55227,YES,TST Respose 1,A person who loves science,0.020628984,Clara,24,positive,
stu_EHYTZ32137,cls_USLPT75423,sch_QQLIR33891,YES,TST Respose 4,I'm a good writer,0.020690713,Clara,25,positive,
stu_JVLXZ63894,cls_CIIPB03795,sch_RSWHG50450,YES,TST Respose 7,artist,0.020822981,Clara,26,neutral,
stu_OAZKI17777,cls_TNHXN45809,sch_RSWHG50450,YES,TST Respose 18,[FIRST NAME],0.021175114,Clara,5,none,
stu_WQGUY90279,cls_JYBSH30995,sch_QQLIR33891,,TST Respose 4,I'm Vietnamese and Chinese,0.021355805,Clara,7,vietnamese and chinese,
stu_STIXI97047,cls_CXLDP17094,sch_KACVP55227,,TST Respose 7,I am [LAST NAME].,0.021404606,Clara,5,none,
stu_THKBG93560,cls_OUMSN73782,sch_QQLIR33891,YES,TST Respose 20,I'm an outside kid,0.021513461,Clara,22,outsidekid,
stu_THKBG93560,cls_OUMSN73782,sch_QQLIR33891,YES,TST Respose 20,I'm an outside kid,0.021513461,Clara,4,child,
stu_MRIWT64391,cls_SYHWK05211,sch_KACVP55227,YES,TST Respose 4,A english speaker,0.021562825,Clara,25,neutral,flag for later
stu_MRIWT64391,cls_SYHWK05211,sch_KACVP55227,YES,TST Respose 4,A english speaker,0.021562825,Clara,22,englishspeaker,flag for later
stu_VENGZ10475,cls_HEZZN95002,sch_QQLIR33891,,TST Respose 9,A coder,0.021595809,Clara,26,neutral,
stu_BCRYB29652,cls_OUMSN73782,sch_QQLIR33891,YES,TST Respose 13,"I,m good at srose.",0.021856726,Clara,48,positive,
stu_FBOFA96484,cls_MAEBK64434,sch_QQLIR33891,,TST Respose 9,i am a thankful person,0.021888129,Clara,45,positive,
stu_PJCOJ15115,cls_HEZZN95002,sch_QQLIR33891,,TST Respose 11,I am a spiderman enjoyer,0.022437152,Clara,24,positive,
stu_CLLRZ76280,cls_MAEBK64434,sch_QQLIR33891,,TST Respose 8,I'm someone who's birthday is january,0.022444792,Clara,22,january birthday,
stu_OFAWH83528,cls_FBBRP25979,sch_QQLIR33891,,TST Respose 18,i like hanging out with family,0.0224597,Clara,31,positive,
stu_OFAWH83528,cls_FBBRP25979,sch_QQLIR33891,,TST Respose 18,i like hanging out with family,0.0224597,Clara,12,positive,
stu_OFAWH83528,cls_FBBRP25979,sch_QQLIR33891,,TST Respose 18,i like hanging out with family,0.0224597,Clara,24,positive,
stu_EHLZF06092,cls_MCLLA54915,sch_KACVP55227,YES,TST Respose 18,I like spring,0.023021043,Clara,24,positive,
stu_CNIFN64507,cls_OUMSN73782,sch_QQLIR33891,YES,TST Respose 4,im me,0.023091206,Clara,19,none,
stu_QHOON52054,cls_MCLLA54915,sch_KACVP55227,YES,TST Respose 2,I am a baseball player,0.023134009,Clara,29,neutral,
stu_IIOVZ06372,cls_HJQZF25095,sch_KACVP55227,YES,TST Respose 18,I like the mall,0.023140297,Clara,24,positive,
stu_FHADA27602,cls_OUMSN73782,sch_QQLIR33891,YES,TST Respose 9,i love mac n cheese,0.023446799,Clara,24,positive,
stu_XKMAG80800,cls_TNHXN45809,sch_RSWHG50450,YES,TST Respose 7,A nice guy,0.023535799,Clara,44,positive,
stu_XKMAG80800,cls_TNHXN45809,sch_RSWHG50450,YES,TST Respose 7,A nice guy,0.023535799,Clara,2,boy,
stu_EUIXK95276,cls_JDASF17902,sch_KACVP55227,,TST Respose 5,"I'm a student at the [SCHOOL NAME] I love dancing, singing, gym class, Art class, eating food",0.023671976,Clara,31,positive,
stu_EUIXK95276,cls_JDASF17902,sch_KACVP55227,,TST Respose 5,"I'm a student at the [SCHOOL NAME] I love dancing, singing, gym class, Art class, eating food",0.023671976,Clara,14,neutral,
stu_EUIXK95276,cls_JDASF17902,sch_KACVP55227,,TST Respose 5,"I'm a student at the [SCHOOL NAME] I love dancing, singing, gym class, Art class, eating food",0.023671976,Clara,24,positive,
stu_EUIXK95276,cls_JDASF17902,sch_KACVP55227,,TST Respose 5,"I'm a student at the [SCHOOL NAME] I love dancing, singing, gym class, Art class, eating food",0.023671976,Clara,26,positive,
stu_EUIXK95276,cls_JDASF17902,sch_KACVP55227,,TST Respose 5,"I'm a student at the [SCHOOL NAME] I love dancing, singing, gym class, Art class, eating food",0.023671976,Clara,29,positive,
stu_QACJQ31561,cls_JYBSH30995,sch_QQLIR33891,,TST Respose 2,im 11,0.023674808,Clara,4,11,
stu_CPBCK00658,cls_SIVDJ49041,sch_KACVP55227,,TST Respose 1,I am a girl.,0.023743661,Clara,2,girl,
stu_QZOUO83023,cls_FBBRP25979,sch_QQLIR33891,YES,TST Respose 7,I also like money,0.023745965,Clara,34,positive,
stu_QZOUO83023,cls_FBBRP25979,sch_QQLIR33891,YES,TST Respose 7,I also like money,0.023745965,Clara,24,positive,
stu_FSPCV10901,cls_OUMSN73782,sch_QQLIR33891,YES,TST Respose 13,I love the park.,0.024075289,Clara,24,positive,
stu_EUWJA76858,cls_HJQZF25095,sch_KACVP55227,YES,TST Respose 3,I am a volleyball player.,0.025047834,Clara,29,neutral,
stu_YXBHV58732,cls_VFZRA31361,sch_KACVP55227,YES,TST Respose 1,I'm a student,0.025083794,Clara,14,neutral,
stu_SULZI60933,cls_JYBSH30995,sch_QQLIR33891,,TST Respose 19,i like art,0.025243102,Clara,26,positive,
stu_SULZI60933,cls_JYBSH30995,sch_QQLIR33891,,TST Respose 19,i like art,0.025243102,Clara,24,positive,
stu_DUOEM76163,cls_FXSNE83092,sch_QQLIR33891,,TST Respose 13,I was born in [CITY],0.025245228,Clara,9,neutral,
stu_IIOVZ06372,cls_HJQZF25095,sch_KACVP55227,YES,TST Respose 17,I like the weekends,0.025348144,Clara,24,positive,
stu_EHYTZ32137,cls_USLPT75423,sch_QQLIR33891,YES,TST Respose 9,I'm the oldest,0.025377361,Clara,12,neutral,
stu_CAGAM03126,cls_HOJKW39162,sch_KACVP55227,YES,TST Respose 17,I am a person who likes hoodies.,0.025655652,Clara,30,positive,
stu_CAGAM03126,cls_HOJKW39162,sch_KACVP55227,YES,TST Respose 17,I am a person who likes hoodies.,0.025655652,Clara,24,positive,
stu_NWVEW24693,cls_AVBRA70624,sch_KACVP55227,YES,TST Respose 16,i am excited for spring,0.02579545,Clara,47,positive,
stu_UEVQJ25414,cls_USLPT75423,sch_QQLIR33891,YES,TST Respose 5,im funny,0.02606282,Clara,46,positive,
stu_MMNSJ38829,cls_YLGBO89611,sch_KACVP55227,,TST Respose 7,I like to listen to music.,0.02608221,Clara,26,positive,
stu_MMNSJ38829,cls_YLGBO89611,sch_KACVP55227,,TST Respose 7,I like to listen to music.,0.02608221,Clara,24,positive,
stu_QQMSX84242,cls_TNHXN45809,sch_RSWHG50450,YES,TST Respose 7,a family member,0.026442087,Clara,12,neutral,
stu_OAZKI17777,cls_TNHXN45809,sch_RSWHG50450,YES,TST Respose 17,[FIRST NAME],0.026928742,Clara,5,none,
stu_KWLPL21630,cls_SIVDJ49041,sch_KACVP55227,,TST Respose 16,I like cute outfit.,0.027006714,Clara,30,positive,
stu_KWLPL21630,cls_SIVDJ49041,sch_KACVP55227,,TST Respose 16,I like cute outfit.,0.027006714,Clara,24,positive,
stu_WTRMC77187,cls_IZNZG32572,sch_KACVP55227,YES,TST Respose 6,I have fun with friends,0.027031958,Clara,31,positive,
stu_WTRMC77187,cls_IZNZG32572,sch_KACVP55227,YES,TST Respose 6,I have fun with friends,0.027031958,Clara,10,positive,
stu_CNIXS57234,cls_ERQJB18593,sch_QQLIR33891,,TST Respose 3,I'm basketball player,0.027336326,Clara,29,neutral,
stu_HEPWQ98561,cls_ZUQLK09797,sch_KACVP55227,,TST Respose 4,"i am black,",0.027444816,Clara,6,black,
stu_IGWBR81023,cls_DLRQP13887,sch_QQLIR33891,,TST Respose 5,i have two older brothers and two younger sisters,0.027880984,Clara,12,neutral,
stu_SQLXP95993,cls_MFUGV02425,sch_QQLIR33891,,TST Respose 6,I don't like to do all of my homework,0.027977235,Clara,24,negative,
stu_SQLXP95993,cls_MFUGV02425,sch_QQLIR33891,,TST Respose 6,I don't like to do all of my homework,0.027977235,Clara,14,negative,
stu_UEYTM01990,cls_HOJKW39162,sch_KACVP55227,YES,TST Respose 5,I'm nice,0.028086579,Clara,44,positive,
stu_YBWGX96937,cls_MAEBK64434,sch_QQLIR33891,,TST Respose 15,not like warm up,0.02815258,Clara,24,positive,
stu_OQLOS45541,cls_USLPT75423,sch_QQLIR33891,YES,TST Respose 3,I'm a writer.,0.028177997,Clara,25,neutral,
stu_CDXSC86692,cls_MAEBK64434,sch_QQLIR33891,,TST Respose 8,I am a person that to spend time with my brothers,0.028436449,Clara,12,neutral,
stu_ERQCY81201,cls_USLPT75423,sch_QQLIR33891,YES,TST Respose 9,I am a girl who loves her morning coffe.,0.028856346,Clara,24,positive,
stu_ERQCY81201,cls_USLPT75423,sch_QQLIR33891,YES,TST Respose 9,I am a girl who loves her morning coffe.,0.028856346,Clara,2,girl,
stu_OIYXZ27717,cls_MAEBK64434,sch_QQLIR33891,,TST Respose 4,I am the oldest sibling,0.029030467,Clara,12,neutral,
stu_CWJCN88700,cls_DLRQP13887,sch_QQLIR33891,,TST Respose 2,I am Cape Verdean,0.029320218,Clara,7,cape verdean,
stu_QQAHK93946,cls_FXSNE83092,sch_QQLIR33891,,TST Respose 6,I like cats and small dogs,0.029338399,Clara,24,positive,
stu_WTRMC77187,cls_IZNZG32572,sch_KACVP55227,YES,TST Respose 15,the moon is cool,0.029378382,Clara,48,none,
stu_RSKDK68207,cls_SIVDJ49041,sch_KACVP55227,,TST Respose 8,I like to sing.,0.029490057,Clara,26,positive,
stu_RSKDK68207,cls_SIVDJ49041,sch_KACVP55227,,TST Respose 8,I like to sing.,0.029490057,Clara,24,positive,
stu_KCDEU07486,cls_JWHPH41004,sch_QQLIR33891,YES,TST Respose 15,I am mature,0.030043975,Clara,45,"positive, positive",
stu_BJJXN95776,cls_MAEBK64434,sch_QQLIR33891,,TST Respose 7,I love fruit,0.030223125,Clara,24,positive,
stu_SBUBU63586,cls_OUKFK08724,sch_RSWHG50450,YES,TST Respose 1,i am [FIRST NAME],0.03024544,Clara,5,none,
stu_NYHDW07721,cls_CIIPB03795,sch_RSWHG50450,,TST Respose 15,Resident of [CITY],0.030263287,Clara,9,neutral,
stu_GCHCS91000,cls_SLKYU63739,sch_QQLIR33891,YES,TST Respose 10,i am reponsible,0.030294117,Clara,43,positive,
stu_WPVZY01902,cls_YLGBO89611,sch_KACVP55227,,TST Respose 16,I dont like Play station,0.03048431,Clara,28,negative,
stu_ECYEC76336,cls_OUMSN73782,sch_QQLIR33891,YES,TST Respose 7,I am a person who loves the ocean,0.03048906,Clara,24,positive,
stu_OAZKI17777,cls_TNHXN45809,sch_RSWHG50450,YES,TST Respose 16,[FIRST NAME],0.031063429,Clara,5,none,
stu_UEVQJ25414,cls_USLPT75423,sch_QQLIR33891,YES,TST Respose 9,i have short hair,0.03131653,Clara,35,neutral,
stu_QHOON52054,cls_MCLLA54915,sch_KACVP55227,YES,TST Respose 6,I am a very nice and kind person,0.031689201,Clara,44,positive,
