answer rank,anon_stu_id,Who am I?,random values for sorting,code,valence,coder,note
3,stu_AZSAJ4875U,Im respectful,0.677570398,44,positive,clara,
4,stu_AZSAJ4875U,Im nice,0.8785759479999999,44,positive,clara,
5,stu_AZSAJ4875U,I like donuts,0.22419306100000003,24,positive,frank,
6,stu_AZSAJ4875U,i like food,0.124765744,24,positive,frank,
7,stu_AZSAJ4875U,I like being on my phone,0.603883013,27,positive,clara,
7,stu_AZSAJ4875U,I like being on my phone,0.603883013,24,positive,clara,
8,stu_AZSAJ4875U,I like to be in my bed,0.023005201,31,positive,used for IRR check,
8,stu_AZSAJ4875U,I like to be in my bed,0.023005201,24,positive,used for IRR check,
9,stu_AZSAJ4875U,I like doing my mathia with my math teacher,0.529585605,25,positive,frank,
9,stu_AZSAJ4875U,I like doing my mathia with my math teacher,0.529585605,24,positive,frank,
10,stu_AZSAJ4875U,My favorite class to be in is my math class,0.490276266,25,positive,frank,
10,stu_AZSAJ4875U,My favorite class to be in is my math class,0.490276266,24,positive,frank,
11,stu_AZSAJ4875U,I love wearing sweaters,0.252815865,24,positive,frank,
12,stu_AZSAJ4875U,My birthday is in [date],0.295615371,48,none,frank,
13,stu_AZSAJ4875U,i got 2 dogs,0.33067732699999997,32,none,frank,
14,stu_AZSAJ4875U,i got 1 bird,0.924452811,32,neutral,clara,
15,stu_AZSAJ4875U,Im [student first + middle + last name],0.983741225,5,none,clara,
16,stu_AZSAJ4875U,i love traveling,0.325056621,24,positive,frank,
17,stu_AZSAJ4875U,i love wearing comfy clothes,0.868441217,24,positive,clara,
18,stu_AZSAJ4875U,I like doodling on my paper,0.472705559,26,positive,frank,
18,stu_AZSAJ4875U,I like doodling on my paper,0.472705559,24,positive,frank,
19,stu_AZSAJ4875U,i like playing soccer,0.807021798,29,positive,clara,
19,stu_AZSAJ4875U,i like playing soccer,0.807021798,24,positive,clara,
20,stu_AZSAJ4875U,i like takis,0.095276897,24,positive,used for IRR check,
1,stu_BKDWS8011M,I am a 7th grade student,0.374058089,22,seventhgrader,frank,
1,stu_BKDWS8011M,I am a 7th grade student,0.374058089,14,neutral,frank,
2,stu_BKDWS8011M,I am a girl,0.343534245,2,girl,frank,
3,stu_BKDWS8011M,I am the oldest,0.999671602,12,neutral,clara,
4,stu_BKDWS8011M,I am kind,0.170741781,44,positive,frank,
5,stu_BKDWS8011M,"I am Vietnamese, Chinese, and American",0.338476379,8,american,frank,
5,stu_BKDWS8011M,"I am Vietnamese, Chinese, and American",0.338476379,7,vietnameseandchinese,frank,
6,stu_BKDWS8011M,I am a bookworm,0.021576263999999998,25,neutral,used for IRR check,
7,stu_BKDWS8011M,I am tired,0.851150472,47,negative,clara,
8,stu_BKDWS8011M,I am artistic,0.426770694,26,neutral,frank,
9,stu_BKDWS8011M,I am quiet.....most times,0.788499008,44,neutral,clara,
10,stu_BKDWS8011M,I am an Honors student,0.749536414,25,positive,clara,
10,stu_BKDWS8011M,I am an Honors student,0.749536414,22,honorsstudent,clara,
11,stu_BKDWS8011M,I am an older sister to two brothers,0.6212683139999999,12,neutral,clara,
11,stu_BKDWS8011M,I am an older sister to two brothers,0.6212683139999999,2,girl,clara,
12,stu_BKDWS8011M,I am sleepy,0.33884706700000006,47,neutral,frank,
13,stu_BKDWS8011M,I am unsure of what to write next,0.066865852,47,neutral,used for IRR check,
14,stu_BKDWS8011M,I am not tall or short,0.11033449599999999,35,neutral,frank,
15,stu_BKDWS8011M,I am prepared,0.207456379,43,positive,frank,
16,stu_BKDWS8011M,I am forgetful,0.060704492,45,negative,used for IRR check,
17,stu_BKDWS8011M,I am typing hurridly,0.040108143,47,neutral,used for IRR check,
18,stu_BKDWS8011M,I am smart,0.855158683,43,positive,clara,
19,stu_BKDWS8011M,I am an animal lover,0.605487114,24,positive,clara,
20,stu_BKDWS8011M,I am not a person who curses frequently,0.17500528899999998,44,neutral,frank,
1,stu_BTOKM4244J,I am from Africa,0.19681990600000002,7,from african,frank,
2,stu_BTOKM4244J,I am a Soccer and Basketball player,0.44141118,29,neutral,frank,
3,stu_BTOKM4244J,I am the oldest sibling,0.9990594890000001,12,neutral,clara,
4,stu_BTOKM4244J,I am Originally from [country] (North Africa),0.160917156,7,north african,frank,
5,stu_BTOKM4244J,I am a YouTuber with 180+ subs,0.39091949299999995,27,neutral,frank,
5,stu_BTOKM4244J,I am a YouTuber with 180+ subs,0.39091949299999995,13,neutral,frank,
6,stu_BTOKM4244J,I am Muslim,0.240847719,16,muslim,frank,
7,stu_BTOKM4244J,I am 12,0.7823978509999999,4,12,clara,
8,stu_BTOKM4244J,I am a Fortnite Kid,0.50078329,28,neutral,frank,
9,stu_BTOKM4244J,I am almost done with Mathia,0.12864118900000002,47,neutral,frank,
10,stu_BTOKM4244J,I am Almost done with the whole lexia Grammar,0.194667882,47,neutral,frank,
11,stu_BTOKM4244J,I am That Guy,0.778681385,43,positive,clara,
12,stu_BTOKM4244J,I am A True friend,0.486556311,12,neutral,frank,
13,stu_BTOKM4244J,I am better than [initials] at basketball,0.164517943,29,positive,frank,
14,stu_BTOKM4244J,I am A PRO GAMER,0.995667104,28,positive,clara,
15,stu_BTOKM4244J,I am a Math star,0.532862111,43,positive,frank,
15,stu_BTOKM4244J,I am a Math star,0.532862111,25,positive,frank,
16,stu_BTOKM4244J,I am looking at [first name],0.890882249,47,neutral,clara,
17,stu_BTOKM4244J,I am about to leave math class,0.8769182059999999,47,neutral,clara,
18,stu_BTOKM4244J,I am a fighter,0.771400688,41,positive,clara,
19,stu_BTOKM4244J,I am Skinny,0.380224305,35,neutral,frank,
20,stu_BTOKM4244J,I am Not Fat,0.7054647959999999,35,neutral,clara,
1,stu_CKFZF0338R,I am a child,0.744111174,22,child,clara,
1,stu_CKFZF0338R,I am a child,0.744111174,4,child,clara,
2,stu_CKFZF0338R,I am a seventh grader,0.328078711,22,seventhgrader,frank,
2,stu_CKFZF0338R,I am a seventh grader,0.328078711,14,neutral,frank,
3,stu_CKFZF0338R,I am a girl,0.463378656,2,girl,frank,
4,stu_CKFZF0338R,I am a human,0.574322656,21,none,clara,
5,stu_CKFZF0338R,I am haitian,0.356580984,7,haitian,frank,
6,stu_CKFZF0338R,I am the youngest of the family,0.6303715120000001,12,neutral,clara,
7,stu_CKFZF0338R,I am a Christian,0.6480374010000001,16,christian,clara,
8,stu_CKFZF0338R,I am someone who wants better grades,0.54109823,25,neutral,clara,
8,stu_CKFZF0338R,I am someone who wants better grades,0.54109823,14,neutral,clara,
9,stu_CKFZF0338R,I am someone who likes to take care of babies,0.803603237,44,positive,clara,
9,stu_CKFZF0338R,I am someone who likes to take care of babies,0.803603237,24,positive,clara,
10,stu_CKFZF0338R,I am someone who likes to help others,0.09839407,44,positive,frank,
11,stu_CKFZF0338R,I am someone who likes pink.,0.758624227,24,positive,clara,
12,stu_CKFZF0338R,I am someone who thinks module 5 is better than the rest,0.012641878999999998,25,positive,used for IRR check,
13,stu_CKFZF0338R,I am someone who thinks the mathia robot is a boy,0.044101767,48,none,used for IRR check,
14,stu_CKFZF0338R,I am someone who likes to swim,0.030829289,29,positive,used for IRR check,
15,stu_CKFZF0338R,I am someone who likes oversized clothing,0.205823268,24,positive,frank,
16,stu_CKFZF0338R,I am someone who is turning into a responsible big kid.,0.9219977159999999,43,positive,clara,
16,stu_CKFZF0338R,I am someone who is turning into a responsible big kid.,0.9219977159999999,4,child,clara,
16,stu_CKFZF0338R,I am someone who is turning into a responsible big kid.,0.9219977159999999,22,child,clara,
17,stu_CKFZF0338R,I am someone who likes cats,0.251893981,24,positive,frank,
18,stu_CKFZF0338R,I am someone who likes volleyball,0.9889735340000001,29,positive,clara,
18,stu_CKFZF0338R,I am someone who likes volleyball,0.9889735340000001,24,positive,clara,
19,stu_CKFZF0338R,I am someone who likes water,0.193871586,24,positive,frank,
20,stu_CKFZF0338R,I am someone who got 3rd place in a spelling bee at elementary.,0.240507848,31,neutral,frank,
1,stu_COGEG8137Y,11 years old,0.082828457,4,11,used for IRR check,
2,stu_COGEG8137Y,6th grader,0.475120486,22,sixthgrader,frank,
2,stu_COGEG8137Y,6th grader,0.475120486,14,neutral,frank,
3,stu_COGEG8137Y,a person who likes drama club,0.972014041,26,positive,clara,
3,stu_COGEG8137Y,a person who likes drama club,0.972014041,24,positive,clara,
4,stu_COGEG8137Y,someone who enjoy's singing,0.724092016,26,positive,clara,
4,stu_COGEG8137Y,someone who enjoy's singing,0.724092016,24,positive,clara,
5,stu_COGEG8137Y,I like helping out,0.118864372,44,positive,frank,
5,stu_COGEG8137Y,I like helping out,0.118864372,24,positive,frank,
6,stu_COGEG8137Y,someone whose favorite color is pink,0.7984886459999999,24,positive,clara,
7,stu_COGEG8137Y,someone who enjoys watching shows,0.39412706,31,positive,frank,
7,stu_COGEG8137Y,someone who enjoys watching shows,0.39412706,24,positive,frank,
8,stu_COGEG8137Y,someone who who enjoys movies,0.86523936,31,positive,clara,
8,stu_COGEG8137Y,someone who who enjoys movies,0.86523936,24,positive,clara,
9,stu_COGEG8137Y,someone who enjoys books,0.8000516240000001,25,positive,clara,
9,stu_COGEG8137Y,someone who enjoys books,0.8000516240000001,24,positive,clara,
10,stu_COGEG8137Y,I like doing art,0.156065973,26,positive,frank,
10,stu_COGEG8137Y,I like doing art,0.156065973,24,positive,frank,
11,stu_COGEG8137Y,someone who enjoys doing nail art for fun,0.629954804,30,positive,clara,
12,stu_COGEG8137Y,my hobby is crocheting,0.565914927,26,neutral,clara,
13,stu_COGEG8137Y,I'm going to be 12 later on this year,0.99636557,4,11,clara,
14,stu_COGEG8137Y,I like having fun with my friends,0.919464838,31,positive,clara,
14,stu_COGEG8137Y,I like having fun with my friends,0.919464838,10,positive,clara,
14,stu_COGEG8137Y,I like having fun with my friends,0.919464838,24,positive,clara,
15,stu_COGEG8137Y,I like having fun with my family,0.371005708,24,positive,frank,
15,stu_COGEG8137Y,I like having fun with my family,0.371005708,12,positive,frank,
16,stu_COGEG8137Y,I have a pretty large family,0.891033324,12,neutral,clara,
17,stu_COGEG8137Y,I love going on vacation,0.374099137,24,positive,frank,
18,stu_COGEG8137Y,I am someone who enjoys going shopping,0.8772802590000001,31,positive,clara,
18,stu_COGEG8137Y,I am someone who enjoys going shopping,0.8772802590000001,24,positive,clara,
19,stu_COGEG8137Y,I like having fun with my cousins,0.633956281,31,positive,clara,
19,stu_COGEG8137Y,I like having fun with my cousins,0.633956281,12,neutral,clara,
19,stu_COGEG8137Y,I like having fun with my cousins,0.633956281,24,positive,clara,
20,stu_COGEG8137Y,I enjoy going to places with family and friends.,0.542464237,31,positive,clara,
20,stu_COGEG8137Y,I enjoy going to places with family and friends.,0.542464237,10,neutral,clara,
20,stu_COGEG8137Y,I enjoy going to places with family and friends.,0.542464237,12,neutral,clara,
20,stu_COGEG8137Y,I enjoy going to places with family and friends.,0.542464237,24,positive,clara,
1,stu_DLGAU8137C,I am a seventh grade student.,0.9795227190000001,22,7thgrade,clara,
1,stu_DLGAU8137C,I am a seventh grade student.,0.9795227190000001,4,7thgrade,clara,
1,stu_DLGAU8137C,I am a seventh grade student.,0.9795227190000001,14,neutral,clara,
2,stu_DLGAU8137C,I love to play basketball.,0.385639068,29,positive,frank,
2,stu_DLGAU8137C,I love to play basketball.,0.385639068,24,positive,frank,
3,stu_DLGAU8137C,My favorite color would be red.,0.466715119,24,positive,frank,
4,stu_DLGAU8137C,I am Haitian.,0.659163985,7,haitian,clara,
5,stu_DLGAU8137C,I am also Dominican.,0.6680881320000001,7,dominican,clara,
6,stu_DLGAU8137C,My favorite subject would have to be ELA or math.,0.483391678,25,positive,frank,
6,stu_DLGAU8137C,My favorite subject would have to be ELA or math.,0.483391678,24,positive,frank,
7,stu_DLGAU8137C,I would say I am pretty athletic.,0.513930821,29,neutral,frank,
8,stu_DLGAU8137C,I have big goals/dreams.,0.102920934,41,positive,frank,
9,stu_DLGAU8137C,I am next to [first name].,0.30367448199999997,47,neutral,frank,
10,stu_DLGAU8137C,I go by she/her,0.199018589,2,she/her,frank,
11,stu_DLGAU8137C,I would say I'm smart I just get confused.,0.256527054,43,positive,frank,
12,stu_DLGAU8137C,My all time food would be black rice.,0.19216652899999997,24,positive,frank,
13,stu_DLGAU8137C,I hope to achieve my goals when I'm older.,0.131008854,41,positive,frank,
14,stu_DLGAU8137C,I am 13 years old.,0.799083036,4,13,clara,
15,stu_DLGAU8137C,I am a big sister and a little sister.,0.7156638909999999,12,neutral,clara,
15,stu_DLGAU8137C,I am a big sister and a little sister.,0.7156638909999999,2,girl,clara,
16,stu_DLGAU8137C,I have 4 other siblings.,0.6451515520000001,12,neutral,clara,
17,stu_DLGAU8137C,I love cooking.,0.213029209,24,positive,frank,
18,stu_DLGAU8137C,People say I don't look my age.,0.286572387,46,neutral,frank,
19,stu_DLGAU8137C,I'm tall.,0.5221092629999999,35,neutral,frank,
20,stu_DLGAU8137C,I am confident sometimes.,0.9882044590000001,43,neutral,clara,
1,stu_DQGFA2151C,[student first name],0.695186358,5,none,clara,
2,stu_DQGFA2151C,student,0.704058738,14,neutral,clara,
3,stu_DQGFA2151C,baskeball player,0.355706066,29,neutral,frank,
4,stu_DQGFA2151C,a child,0.013977713999999999,22,child,used for IRR check,
4,stu_DQGFA2151C,a child,0.013977713999999999,4,child,used for IRR check,
5,stu_DQGFA2151C,I am a 6 grade student,0.775339235,22,6thgrade,clara,
5,stu_DQGFA2151C,I am a 6 grade student,0.775339235,4,6thgrade,clara,
5,stu_DQGFA2151C,I am a 6 grade student,0.775339235,14,neutral,clara,
6,stu_DQGFA2151C,I am MW2 player,0.443449596,28,neutral,frank,
7,stu_DQGFA2151C,I enjoy playing games.,0.685965618,31,positive,clara,
7,stu_DQGFA2151C,I enjoy playing games.,0.685965618,24,positive,clara,
8,stu_DQGFA2151C,I enjoy buying shoes.,0.311047949,47,neutral,frank,
9,stu_DQGFA2151C,I am 11.,0.11019554699999999,4,11 years old,frank,
10,stu_DQGFA2151C,I like playing basketball.,0.225728194,29,positive,frank,
10,stu_DQGFA2151C,I like playing basketball.,0.225728194,24,positive,frank,
11,stu_DQGFA2151C,I like riding my electric scooter.,0.24916902300000002,24,positive,frank,
12,stu_DQGFA2151C,I like playing games with my friends.,0.558303721,31,positive,clara,
12,stu_DQGFA2151C,I like playing games with my friends.,0.558303721,10,positive,clara,
12,stu_DQGFA2151C,I like playing games with my friends.,0.558303721,24,positive,clara,
13,stu_DQGFA2151C,I like talking to my friends.,0.230007997,24,positive,frank,
13,stu_DQGFA2151C,I like talking to my friends.,0.230007997,10,positive,frank,
14,stu_DQGFA2151C,I like shoes.,0.41613082799999995,24,positive,frank,
15,stu_DQGFA2151C,"I enjoy riding on my bike,",0.585681781,29,positive,clara,
15,stu_DQGFA2151C,"I enjoy riding on my bike,",0.585681781,24,positive,clara,
16,stu_DQGFA2151C,I like eating pizza.,0.14970771800000002,24,positive,frank,
17,stu_DQGFA2151C,I like swimming.,0.710712916,29,positive,clara,
17,stu_DQGFA2151C,I like swimming.,0.710712916,24,positive,clara,
18,stu_DQGFA2151C,Im healthy.,0.842029395,36,positive,clara,
19,stu_DQGFA2151C,I like drinking water.,0.13591751900000001,24,positive,frank,
20,stu_DQGFA2151C,I like to go in my trampoline.,0.8497244829999999,31,positive,clara,
20,stu_DQGFA2151C,I like to go in my trampoline.,0.8497244829999999,24,positive,clara,
1,stu_EJTTZ5380Q,I'm a 7th grade student,0.43447936600000003,22,seventhgrader,frank,
1,stu_EJTTZ5380Q,I'm a 7th grade student,0.43447936600000003,14,neutral,frank,
2,stu_EJTTZ5380Q,I go to [school name] Middle School,0.128745859,22,middleschooler,frank,
2,stu_EJTTZ5380Q,I go to [school name] Middle School,0.128745859,14,neutral,frank,
3,stu_EJTTZ5380Q,I am in the band and jazz band.,0.8935226479999999,26,neutral,clara,
4,stu_EJTTZ5380Q,I am an the oldest in my family.,0.9096742959999999,12,neutral,clara,
5,stu_EJTTZ5380Q,I'm a gamer,0.860744825,28,neutral,clara,
6,stu_EJTTZ5380Q,I own two dogs,0.6142509970000001,32,neutral,clara,
7,stu_EJTTZ5380Q,I'm Catholic,0.127814661,16,catholic,frank,
8,stu_EJTTZ5380Q,I'm not a fan of school,0.470769034,24,negative,frank,
9,stu_EJTTZ5380Q,I'm someone who sleeps rather late,0.810195784,35,neutral,clara,
10,stu_EJTTZ5380Q,I'm quite smart,0.223405157,43,positive,frank,
11,stu_EJTTZ5380Q,I'm part Irish with a little bit of Portuguese blood.,0.448411639,7,irish and portugueuse,frank,
12,stu_EJTTZ5380Q,I'm myself,0.9092988590000001,19,none,clara,
13,stu_EJTTZ5380Q,I'm someone who enjoys a lot of sports.,0.494972698,24,positive,frank,
14,stu_EJTTZ5380Q,I'm no one else,0.6046835070000001,19,none,clara,
15,stu_EJTTZ5380Q,I'm apart of the Nation Juniors Honor Society,0.064351955,25,nationalhonorssociety,used for IRR check,
15,stu_EJTTZ5380Q,I'm apart of the Nation Juniors Honor Society,0.064351955,18,neutral,used for IRR check,
16,stu_EJTTZ5380Q,I'm in a large group of people that I can truly call friends,0.03319314,10,positive,used for IRR check,
17,stu_EJTTZ5380Q,I'm someone who has manners,0.214883577,44,positive,frank,
18,stu_EJTTZ5380Q,I'm someone who jokes around sometimes,0.617275795,44,neutral,clara,
19,stu_EJTTZ5380Q,I am unsure what to write next.,0.248680199,47,none,frank,
20,stu_EJTTZ5380Q,I am someone who can get distracted easily.,0.716092428,41,negative,clara,
1,stu_EVJGP1336O,I am a student in the [school name] Middle School.,0.535547772,22,middleschooler,frank,
1,stu_EVJGP1336O,I am a student in the [school name] Middle School.,0.535547772,14,neutral,frank,
2,stu_EVJGP1336O,I am kind to a lot of people.,0.208329598,44,positive,frank,
3,stu_EVJGP1336O,I am very caring to everyone.,0.86932934,44,positive,clara,
4,stu_EVJGP1336O,I am very thoughtful.,0.326633483,45,positive,frank,
5,stu_EVJGP1336O,I am nice to everyone.,0.926379602,44,positive,clara,
6,stu_EVJGP1336O,I put my needs before everyone's elses.,0.086533073,44,neutral,used for IRR check,
6,stu_EVJGP1336O,I put my needs before everyone's elses.,0.086533073,40,neutral,used for IRR check,
7,stu_EVJGP1336O,I am respectful.,0.962531895,44,positive,clara,
8,stu_EVJGP1336O,I am intelligent.,0.10133359800000001,43,positive,frank,
9,stu_EVJGP1336O,I am nice to the teachers.,0.460005211,44,positive,frank,
10,stu_EVJGP1336O,I am very smart.,0.41533963399999996,43,positive,frank,
11,stu_EVJGP1336O,I am happy.,0.296929722,45,positive,frank,
12,stu_EVJGP1336O,I am where I belong.,0.044240687,42,positive,used for IRR check,
13,stu_EVJGP1336O,I am protected.,0.052186696,42,positive,used for IRR check,
14,stu_EVJGP1336O,I am happy.,0.13538886,45,positive,frank,
15,stu_EVJGP1336O,I am loved.,0.285901694,42,positive,frank,
16,stu_EVJGP1336O,I am responsible.,0.112225597,43,positive,frank,
17,stu_EVJGP1336O,I am creative.,0.981380838,43,positive,clara,
18,stu_EVJGP1336O,I am artistic.,0.750065553,43,positive,clara,
19,stu_EVJGP1336O,I am loyal.,0.7651874329999999,40,positive,clara,
20,stu_EVJGP1336O,I am very excited for this test.,0.617771644,47,positive,clara,
1,stu_FSPWJ4873F,A student,0.110626655,14,neutral,frank,
2,stu_FSPWJ4873F,[student first name],0.070918735,5,none,used for IRR check,
3,stu_FSPWJ4873F,[student first name],0.617195936,5,none,clara,
4,stu_FSPWJ4873F,[student first name],0.145278162,5,none,frank,
5,stu_FSPWJ4873F,[student first name],0.988724829,5,none,clara,
6,stu_FSPWJ4873F,[student first name],0.467680785,5,none,frank,
7,stu_FSPWJ4873F,[student first name],0.25391939199999997,5,none,frank,
8,stu_FSPWJ4873F,[student first name],0.612211678,5,none,clara,
9,stu_FSPWJ4873F,[student first name],0.39520699600000003,5,none,frank,
10,stu_FSPWJ4873F,[student first name],0.987935283,5,none,clara,
11,stu_FSPWJ4873F,a student,0.309154412,48,none,frank,
12,stu_FSPWJ4873F,[student first name],0.2875881,5,none,frank,
13,stu_FSPWJ4873F,[student first name],0.311914517,24,positive,frank,
14,stu_FSPWJ4873F,[student first name],0.569551766,5,none,clara,
15,stu_FSPWJ4873F,[student first name],0.213750446,5,none,frank,
16,stu_FSPWJ4873F,[student first name],0.515411055,5,none,frank,
17,stu_FSPWJ4873F,[student first name],0.6956563240000001,5,none,clara,
18,stu_FSPWJ4873F,[student first name],0.556249354,5,none,clara,
19,stu_FSPWJ4873F,[student first name],0.45010092799999996,5,none,frank,
20,stu_FSPWJ4873F,[student first name],0.304832145,5,none,frank,
1,stu_GFFKY6093O,A daydreamer.,0.205643732,45,neutral,frank,
2,stu_GFFKY6093O,a very creative person.,0.084817296,43,positive,used for IRR check,
2,stu_GFFKY6093O,a very creative person.,0.084817296,21,none,used for IRR check,
3,stu_GFFKY6093O,lost in thought often.,0.147328682,45,neutral,frank,
4,stu_GFFKY6093O,very pretty!,0.982435018,35,positive,clara,
5,stu_GFFKY6093O,a forgetful girl.,0.115525175,45,negative,frank,
5,stu_GFFKY6093O,a forgetful girl.,0.115525175,2,girl,frank,
6,stu_GFFKY6093O,a flower lover,0.071083825,24,positive,used for IRR check,
7,stu_GFFKY6093O,the sun of somebody's day,0.409551834,44,positive,frank,
8,stu_GFFKY6093O,sometimes one thing sometimes another.,0.699305128,42,neutral,clara,
