stu_id,variable,Who am I?,code,valence
stu_HLKZL24322,TST Respose 19,i like popcorn,24.0,positive
stu_MTCIM85775,TST Respose 20,A [CITY] resident,9.0,neutral
stu_UHXBA77476,TST Respose 12,l like butterflies,24.0,positive
stu_FASQN45304,TST Respose 3,I am someone who likes to run.,29.0,positive
stu_FASQN45304,TST Respose 3,I am someone who likes to run.,24.0,positive
stu_FPTDO32773,TST Respose 3,Girlfriend,11.0,neutral
stu_RDPGG44681,TST Respose 12,I am truthful,40.0,positive
stu_XSQUV53095,TST Respose 6,I AM [FIRST NAME] A ANTISOCIAL,44.0,negative
stu_XSQUV53095,TST Respose 6,I AM [FIRST NAME] A ANTISOCIAL,5.0,neutral
stu_DHTXQ91573,TST Respose 7,I am a students from 6 grades,22.0,6thgrade
stu_DHTXQ91573,TST Respose 7,I am a students from 6 grades,4.0,6thgrade
stu_DHTXQ91573,TST Respose 7,I am a students from 6 grades,14.0,neutral
stu_CWQDV67579,TST Respose 1,I am Christian,16.0,christian
stu_UYUIH18635,TST Respose 14,my favortie holiday is christmas,24.0,positive
stu_PYEUW09959,TST Respose 12,I like to go to dunkin' donuts,31.0,positive
stu_PYEUW09959,TST Respose 12,I like to go to dunkin' donuts,24.0,positive
stu_MMZHT88458,TST Respose 20,i have long hair,35.0,neutral
stu_KWMWG76590,TST Respose 9,i like hang out with my friends,31.0,positive
stu_KWMWG76590,TST Respose 9,i like hang out with my friends,10.0,positive
stu_KWMWG76590,TST Respose 9,i like hang out with my friends,24.0,positive
stu_SJXEZ38047,TST Respose 13,I speak 2 different languages,25.0,neutral
stu_SJXEZ38047,TST Respose 13,I speak 2 different languages,22.0,bilingual
stu_TDURA35752,TST Respose 8,I am quiet,44.0,neutral
stu_CAGAM03126,TST Respose 14,I am a person who likes to play games.,31.0,positive
stu_CAGAM03126,TST Respose 14,I am a person who likes to play games.,24.0,positive
stu_ORUUL82324,TST Respose 9,My older brother is in military-basic training,12.0,neutral
stu_FVHVM49769,TST Respose 3,I am half brazilian,7.0,brazilian
stu_WZRKM29688,TST Respose 2,im a sports player,29.0,neutral
stu_XKMAG80800,TST Respose 16,I like strawberry cheesecake.,24.0,positive
stu_BJJXN95776,TST Respose 18,I like homemade food,24.0,positive
stu_IZQGI75719,TST Respose 1,i like tv,24.0,positive
stu_EHLZF06092,TST Respose 9,I don't like spanish class,24.0,negative
stu_EHLZF06092,TST Respose 9,I don't like spanish class,14.0,negative
stu_KFYJM61476,TST Respose 3,I like to wear sweaters.,24.0,positive
stu_QHOON52054,TST Respose 20,I am done with this test and I am 5'4ft,47.0,neutral
stu_QHOON52054,TST Respose 20,I am done with this test and I am 5'4ft,35.0,neutral
stu_XCKNQ66212,TST Respose 1,im black,6.0,black
stu_MMNSJ38829,TST Respose 1,I like to dance.,26.0,positive
stu_MMNSJ38829,TST Respose 1,I like to dance.,24.0,positive
stu_UAFAK64772,TST Respose 2,A 7th grade student,22.0,7thgrade
stu_UAFAK64772,TST Respose 2,A 7th grade student,4.0,7thgrade
stu_UAFAK64772,TST Respose 2,A 7th grade student,14.0,neutral
stu_IKUOQ66846,TST Respose 14,I have cornrows,35.0,neutral
stu_CPBCK00658,TST Respose 15,I like babies,24.0,positive
stu_FBWGP41232,TST Respose 11,I like to sleep,31.0,positive
stu_FBWGP41232,TST Respose 11,I like to sleep,24.0,positive
stu_CTAZU65504,TST Respose 9,I am Cape Verdean,7.0,cape verdean
stu_VQFBG95862,TST Respose 18,i am a person with a dog,32.0,none
stu_ABSGH36082,TST Respose 14,I was born in April,22.0,april birthday
stu_LJAAE92948,TST Respose 20,I can't do my hair,30.0,negative
stu_QACJQ31561,TST Respose 10,i like jordans,30.0,positive
stu_QACJQ31561,TST Respose 10,i like jordans,24.0,positive
stu_WWNBY52737,TST Respose 6,I am a singer.,26.0,neutral
stu_NWRRC44615,TST Respose 5,i hang out with my friends,31.0,neutral
stu_NWRRC44615,TST Respose 5,i hang out with my friends,10.0,neutral
stu_XHGVP79664,TST Respose 4,Im white,6.0,white
stu_SELBD60428,TST Respose 1,[FIRST LAST NAME],5.0,none
stu_PKXZK94759,TST Respose 5,I love music,24.0,positive
stu_NJZBY59884,TST Respose 8,i like to eat.,31.0,positive
stu_NJZBY59884,TST Respose 8,i like to eat.,24.0,positive
stu_WXAMH04104,TST Respose 2,i am 12 years old,4.0,12
stu_LJAAE92948,TST Respose 19,I'm a good sister,12.0,positive
stu_LJAAE92948,TST Respose 19,I'm a good sister,2.0,girl
stu_DKGHS98193,TST Respose 9,i have a baby brother i love alot,12.0,positive
stu_MRIWT64391,TST Respose 1,A person who loves science,25.0,positive
stu_MRIWT64391,TST Respose 1,A person who loves science,24.0,positive
stu_EHYTZ32137,TST Respose 4,I'm a good writer,25.0,positive
stu_JVLXZ63894,TST Respose 7,artist,26.0,neutral
stu_OAZKI17777,TST Respose 18,[FIRST NAME],5.0,none
stu_WQGUY90279,TST Respose 4,I'm Vietnamese and Chinese,7.0,vietnamese and chinese
stu_STIXI97047,TST Respose 7,I am [LAST NAME].,5.0,none
stu_THKBG93560,TST Respose 20,I'm an outside kid,22.0,outsidekid
stu_THKBG93560,TST Respose 20,I'm an outside kid,4.0,child
stu_MRIWT64391,TST Respose 4,A english speaker,25.0,neutral
stu_MRIWT64391,TST Respose 4,A english speaker,22.0,englishspeaker
stu_VENGZ10475,TST Respose 9,A coder,26.0,neutral
stu_BCRYB29652,TST Respose 13,"I,m good at srose.",48.0,positive
stu_FBOFA96484,TST Respose 9,i am a thankful person,45.0,positive
stu_PJCOJ15115,TST Respose 11,I am a spiderman enjoyer,24.0,positive
stu_CLLRZ76280,TST Respose 8,I'm someone who's birthday is january,22.0,january birthday
stu_OFAWH83528,TST Respose 18,i like hanging out with family,31.0,positive
stu_OFAWH83528,TST Respose 18,i like hanging out with family,12.0,positive
stu_OFAWH83528,TST Respose 18,i like hanging out with family,24.0,positive
stu_EHLZF06092,TST Respose 18,I like spring,24.0,positive
stu_CNIFN64507,TST Respose 4,im me,19.0,none
stu_QHOON52054,TST Respose 2,I am a baseball player,29.0,neutral
stu_IIOVZ06372,TST Respose 18,I like the mall,24.0,positive
stu_FHADA27602,TST Respose 9,i love mac n cheese,24.0,positive
stu_XKMAG80800,TST Respose 7,A nice guy,44.0,positive
stu_XKMAG80800,TST Respose 7,A nice guy,2.0,boy
stu_EUIXK95276,TST Respose 5,"I'm a student at the [SCHOOL NAME] I love dancing, singing, gym class, Art class, eating food",31.0,positive
stu_EUIXK95276,TST Respose 5,"I'm a student at the [SCHOOL NAME] I love dancing, singing, gym class, Art class, eating food",14.0,neutral
stu_EUIXK95276,TST Respose 5,"I'm a student at the [SCHOOL NAME] I love dancing, singing, gym class, Art class, eating food",24.0,positive
stu_EUIXK95276,TST Respose 5,"I'm a student at the [SCHOOL NAME] I love dancing, singing, gym class, Art class, eating food",26.0,positive
stu_EUIXK95276,TST Respose 5,"I'm a student at the [SCHOOL NAME] I love dancing, singing, gym class, Art class, eating food",29.0,positive
stu_QACJQ31561,TST Respose 2,im 11,4.0,11
stu_CPBCK00658,TST Respose 1,I am a girl.,2.0,girl
stu_QZOUO83023,TST Respose 7,I also like money,34.0,positive
stu_QZOUO83023,TST Respose 7,I also like money,24.0,positive
stu_FSPCV10901,TST Respose 13,I love the park.,24.0,positive
stu_EUWJA76858,TST Respose 3,I am a volleyball player.,29.0,neutral
stu_YXBHV58732,TST Respose 1,I'm a student,14.0,neutral
stu_SULZI60933,TST Respose 19,i like art,26.0,positive
stu_SULZI60933,TST Respose 19,i like art,24.0,positive
stu_DUOEM76163,TST Respose 13,I was born in [CITY],9.0,neutral
stu_IIOVZ06372,TST Respose 17,I like the weekends,24.0,positive
stu_EHYTZ32137,TST Respose 9,I'm the oldest,12.0,neutral
stu_CAGAM03126,TST Respose 17,I am a person who likes hoodies.,30.0,positive
stu_CAGAM03126,TST Respose 17,I am a person who likes hoodies.,24.0,positive
stu_NWVEW24693,TST Respose 16,i am excited for spring,47.0,positive
stu_UEVQJ25414,TST Respose 5,im funny,46.0,positive
stu_MMNSJ38829,TST Respose 7,I like to listen to music.,26.0,positive
stu_MMNSJ38829,TST Respose 7,I like to listen to music.,24.0,positive
stu_QQMSX84242,TST Respose 7,a family member,12.0,neutral
stu_OAZKI17777,TST Respose 17,[FIRST NAME],5.0,none
stu_KWLPL21630,TST Respose 16,I like cute outfit.,30.0,positive
stu_KWLPL21630,TST Respose 16,I like cute outfit.,24.0,positive
stu_WTRMC77187,TST Respose 6,I have fun with friends,31.0,positive
stu_WTRMC77187,TST Respose 6,I have fun with friends,10.0,positive
stu_CNIXS57234,TST Respose 3,I'm basketball player,29.0,neutral
stu_HEPWQ98561,TST Respose 4,"i am black,",6.0,black
stu_IGWBR81023,TST Respose 5,i have two older brothers and two younger sisters,12.0,neutral
stu_SQLXP95993,TST Respose 6,I don't like to do all of my homework,24.0,negative
stu_SQLXP95993,TST Respose 6,I don't like to do all of my homework,14.0,negative
stu_UEYTM01990,TST Respose 5,I'm nice,44.0,positive
stu_YBWGX96937,TST Respose 15,not like warm up,24.0,positive
stu_OQLOS45541,TST Respose 3,I'm a writer.,25.0,neutral
stu_CDXSC86692,TST Respose 8,I am a person that to spend time with my brothers,12.0,neutral
stu_ERQCY81201,TST Respose 9,I am a girl who loves her morning coffe.,24.0,positive
stu_ERQCY81201,TST Respose 9,I am a girl who loves her morning coffe.,2.0,girl
stu_OIYXZ27717,TST Respose 4,I am the oldest sibling,12.0,neutral
stu_CWJCN88700,TST Respose 2,I am Cape Verdean,7.0,cape verdean
stu_QQAHK93946,TST Respose 6,I like cats and small dogs,24.0,positive
stu_WTRMC77187,TST Respose 15,the moon is cool,48.0,none
stu_RSKDK68207,TST Respose 8,I like to sing.,26.0,positive
stu_RSKDK68207,TST Respose 8,I like to sing.,24.0,positive
stu_KCDEU07486,TST Respose 15,I am mature,45.0,"positive, positive"
stu_BJJXN95776,TST Respose 7,I love fruit,24.0,positive
stu_SBUBU63586,TST Respose 1,i am [FIRST NAME],5.0,none
stu_NYHDW07721,TST Respose 15,Resident of [CITY],9.0,neutral
stu_GCHCS91000,TST Respose 10,i am reponsible,43.0,positive
stu_WPVZY01902,TST Respose 16,I dont like Play station,28.0,negative
stu_ECYEC76336,TST Respose 7,I am a person who loves the ocean,24.0,positive
stu_OAZKI17777,TST Respose 16,[FIRST NAME],5.0,none
stu_UEVQJ25414,TST Respose 9,i have short hair,35.0,neutral
stu_QHOON52054,TST Respose 6,I am a very nice and kind person,44.0,positive
stu_QHOON52054,TST Respose 6,I am a very nice and kind person,21.0,none
stu_ZUARE93356,TST Respose 13,My favorite season is summer,24.0,positive
stu_OAZKI17777,TST Respose 3,[LETTER OF NAME],5.0,none
stu_CNIFN64507,TST Respose 5,i like jollyranchers,24.0,positive
stu_KCDEU07486,TST Respose 13,I can be helpful,44.0,positive
stu_NWRRN03456,TST Respose 9,I would like to be in Honors for MATH at 1 and 2 period at my school.,24.0,positive
stu_NWRRN03456,TST Respose 9,I would like to be in Honors for MATH at 1 and 2 period at my school.,14.0,positive
stu_ZYUDW82089,TST Respose 1,a student,14.0,neutral
stu_VTRUH97046,TST Respose 11,I other favorite song is selfish by pnb rock.,24.0,positive
stu_TDURA35752,TST Respose 20,I am [FIRST NAME],5.0,none
stu_QOGPO20181,TST Respose 7,l'm smart,43.0,positive
stu_QOGPO20181,TST Respose 7,l'm smart,25.0,positive
stu_JTZYY08754,TST Respose 3,I like my house and my room that's who I'm,24.0,positive
stu_RNIHY62490,TST Respose 7,I am a gamer,28.0,neutral
stu_MTCIM85775,TST Respose 4,I am a brother,12.0,neutral
stu_MTCIM85775,TST Respose 4,I am a brother,2.0,boy
stu_NKHRJ04957,TST Respose 20,I dont like shurbert,24.0,negative
stu_EHXGF51692,TST Respose 7,I am smart!,43.0,positive
stu_EHXGF51692,TST Respose 7,I am smart!,25.0,positive
stu_LVOOZ80056,TST Respose 19,I was a student ambassador.,14.0,positive
stu_MIJEQ06664,TST Respose 7,I am a good kid,40.0,positive
stu_MIJEQ06664,TST Respose 7,I am a good kid,4.0,child
stu_MIJEQ06664,TST Respose 7,I am a good kid,22.0,child
stu_YGBLH44260,TST Respose 5,I am a person that finds normal math too easy a lot.,25.0,positive
stu_NKHRJ04957,TST Respose 1,Im a boy,2.0,boy
stu_UJNMI16598,TST Respose 14,Mixed,6.0,mixed
stu_PNNIR08301,TST Respose 5,I like math.,25.0,positive
stu_PNNIR08301,TST Respose 5,I like math.,24.0,positive
stu_ROULI02103,TST Respose 7,i loved to sleep,31.0,positive
stu_ROULI02103,TST Respose 7,i loved to sleep,24.0,positive
stu_FBWGP41232,TST Respose 12,I' m in 6th grade,22.0,6thgrade
stu_FBWGP41232,TST Respose 12,I' m in 6th grade,4.0,6thgrade
stu_FBWGP41232,TST Respose 12,I' m in 6th grade,14.0,neutral
stu_LDUML32113,TST Respose 15,i kinda like soccer,29.0,positive
stu_LDUML32113,TST Respose 15,i kinda like soccer,24.0,positive
stu_MIJEQ06664,TST Respose 12,I like tv,24.0,positive
stu_BDAZF88230,TST Respose 15,I am a person with two immigrant parents,12.0,neutral
stu_BDAZF88230,TST Respose 15,I am a person with two immigrant parents,7.0,immigrantparents
stu_ORUUL82324,TST Respose 7,I'm the middle child,22.0,middlechild
stu_ORUUL82324,TST Respose 7,I'm the middle child,12.0,neutral
stu_EUWJA76858,TST Respose 10,I like cheerleading.,29.0,positive
stu_EUWJA76858,TST Respose 10,I like cheerleading.,24.0,positive
stu_TFTDG28078,TST Respose 12,1/2 kids.,48.0,neutral
stu_MTCIM85775,TST Respose 14,I am acheiving,41.0,positive
stu_AQNHF52456,TST Respose 7,i wanna be an  civil engineer,13.0,neutral
stu_SBUBU63586,TST Respose 8,i am a cristgin,16.0,christian
stu_DKGHS98193,TST Respose 4,i have a boyfriend,11.0,neutral
stu_MZIVN56293,TST Respose 14,i was is marching band,26.0,neutral
stu_MKEGQ97127,TST Respose 7,I'm a student.,14.0,neutral
stu_YGBLH44260,TST Respose 6,I am somebody that loves to learn new things.,25.0,positive
stu_YGBLH44260,TST Respose 6,I am somebody that loves to learn new things.,24.0,positive
stu_EHLZF06092,TST Respose 8,I am a person with curly hair,35.0,neutral
stu_NYHDW07721,TST Respose 20,Apart of the [LAST NAME] family,12.0,neutral
stu_UEVQJ25414,TST Respose 15,i play for boxers,29.0,neutral
stu_ROULI02103,TST Respose 17,i want to be a rich person,34.0,neutral
stu_OFAWH83528,TST Respose 4,i LIKE TO WATCH YOUTUBE,27.0,positive
stu_OFAWH83528,TST Respose 4,i LIKE TO WATCH YOUTUBE,24.0,positive
stu_CNIXS57234,TST Respose 20,I like to walk my dog,31.0,positive
stu_CNIXS57234,TST Respose 20,I like to walk my dog,24.0,positive
stu_STIXI97047,TST Respose 9,I am [LAST NAME] .,5.0,none
stu_JUQPD47363,TST Respose 11,I am funny.,46.0,positive
stu_YNVPH88845,TST Respose 13,I like to collect Nike and Jordan sneakers,30.0,positive
stu_YNVPH88845,TST Respose 13,I like to collect Nike and Jordan sneakers,24.0,positive
stu_FBWGP41232,TST Respose 1,[FIRST LAST NAME],5.0,none
stu_SQLXP95993,TST Respose 20,I don't like to wake up early,31.0,negative
stu_SQLXP95993,TST Respose 20,I don't like to wake up early,24.0,negative
stu_PKXZK94759,TST Respose 13,I'm in grade 6,22.0,6thgrade
stu_PKXZK94759,TST Respose 13,I'm in grade 6,4.0,6thgrade
stu_PKXZK94759,TST Respose 13,I'm in grade 6,14.0,neutral
stu_EUIXK95276,TST Respose 8,"I'm a student at the [SCHOOL NAME], I love dancing, singing, gym class, Art class, eating food",31.0,positive
stu_EUIXK95276,TST Respose 8,"I'm a student at the [SCHOOL NAME], I love dancing, singing, gym class, Art class, eating food",14.0,neutral
stu_EUIXK95276,TST Respose 8,"I'm a student at the [SCHOOL NAME], I love dancing, singing, gym class, Art class, eating food",24.0,positive
stu_EUIXK95276,TST Respose 8,"I'm a student at the [SCHOOL NAME], I love dancing, singing, gym class, Art class, eating food",26.0,positive
stu_EUIXK95276,TST Respose 8,"I'm a student at the [SCHOOL NAME], I love dancing, singing, gym class, Art class, eating food",29.0,positive
stu_EHXGF51692,TST Respose 14,I am a bit of a trouble maker.,44.0,negative
stu_EXNUN73314,TST Respose 5,I am Christian,16.0,christian
stu_KJOZZ30475,TST Respose 1,my favorite color is pink almost everything I own is pink.,24.0,positive
stu_CHVFQ54169,TST Respose 10,love listen to music.,26.0,positive
stu_CHVFQ54169,TST Respose 10,love listen to music.,24.0,positive
stu_ZQMQQ26810,TST Respose 5,im good at math,25.0,positive
stu_PNNIR08301,TST Respose 16,I am in sixth grade.,22.0,6thgrade
stu_PNNIR08301,TST Respose 16,I am in sixth grade.,4.0,6thgrade
stu_PNNIR08301,TST Respose 16,I am in sixth grade.,14.0,neutral
stu_VUNQZ79892,TST Respose 14,im a dather,48.0,none
stu_FBWGP41232,TST Respose 8,I like to draw portraits of people,26.0,positive
stu_FBWGP41232,TST Respose 8,I like to draw portraits of people,24.0,positive
stu_OQLOS45541,TST Respose 2,I'm an artist.,26.0,neutral
stu_YPZIM54297,TST Respose 12,I am a volleyball lover,29.0,positive
stu_YPZIM54297,TST Respose 12,I am a volleyball lover,24.0,positive
stu_GCHCS91000,TST Respose 14,i am a math hater,25.0,negative
stu_UHXBA77476,TST Respose 10,I have a dog,32.0,none
stu_HMQRZ27503,TST Respose 5,I m a rude,44.0,negative
stu_UJNMI16598,TST Respose 3,Catholic,16.0,catholic
stu_SJNFF34466,TST Respose 2,doesnt play sports,29.0,negative
stu_ZUARE93356,TST Respose 17,My favorite color is black,24.0,positive
stu_HBPKA70291,TST Respose 14,love music,24.0,positive
stu_MMZHT88458,TST Respose 2,i am sleepy all the time,45.0,negative
stu_XHPVX80161,TST Respose 8,I AM HIM,48.0,none
stu_PUNZK45438,TST Respose 18,i like to party,31.0,positive
stu_PUNZK45438,TST Respose 18,i like to party,24.0,positive
stu_IGLSS89625,TST Respose 14,vf bnj,48.0,none
stu_CQRFU18177,TST Respose 1,I am a boy,2.0,boy
stu_CJHBB29429,TST Respose 15,My favorite football team is the Ravens,29.0,positive
stu_CJHBB29429,TST Respose 15,My favorite football team is the Ravens,24.0,positive
stu_NYHDW07721,TST Respose 17,12 Year Old,4.0,12
stu_NJZBY59884,TST Respose 6,i like going out,31.0,positive
stu_NJZBY59884,TST Respose 6,i like going out,24.0,positive
stu_ZARRQ26344,TST Respose 16,i like rock and pop music,24.0,positive
stu_MRIWT64391,TST Respose 14,a person who loves their science and english teachers,24.0,positive
stu_MRIWT64391,TST Respose 14,a person who loves their science and english teachers,14.0,positive
stu_WHBZD81732,TST Respose 6,i misbehave in class,14.0,negative
stu_VKCWY07846,TST Respose 6,im a diabetic,36.0,none
stu_PNNIR08301,TST Respose 13,I am a person who likes to sleep.,31.0,positive
stu_PNNIR08301,TST Respose 13,I am a person who likes to sleep.,24.0,positive
stu_CNIFN64507,TST Respose 3,I'm black,6.0,black
stu_HLKZL24322,TST Respose 8,a mathematics person,25.0,neutral
stu_MXNSF14478,TST Respose 12,I like to go outside and touch grass.,31.0,positive
stu_MXNSF14478,TST Respose 12,I like to go outside and touch grass.,24.0,positive
stu_YSQPA55709,TST Respose 16,im cruios,25.0,positive
stu_CDGKD03653,TST Respose 20,i like football,29.0,positive
stu_CDGKD03653,TST Respose 20,i like football,24.0,positive
stu_VQFBG95862,TST Respose 12,i am a chines learner,25.0,neutral
stu_GXIYC47970,TST Respose 16,i am a 8th grader,22.0,8thgrade
stu_GXIYC47970,TST Respose 16,i am a 8th grader,4.0,8thgrade
stu_GXIYC47970,TST Respose 16,i am a 8th grader,14.0,neutral
stu_UYUIH18635,TST Respose 18,i love sleeping,31.0,positive
stu_UYUIH18635,TST Respose 18,i love sleeping,24.0,positive
stu_LTSJK02079,TST Respose 20,I like chicken,24.0,positive
stu_QQMSX84242,TST Respose 9,a nerf gun expert,31.0,positive
stu_EQSJM78476,TST Respose 11,I hate multiplying,25.0,negative
stu_EQSJM78476,TST Respose 11,I hate multiplying,24.0,negative
stu_XXEBH66449,TST Respose 17,I am a student,14.0,neutral
stu_UEYTM01990,TST Respose 7,I am respectful,40.0,positive
stu_CPVXX19825,TST Respose 13,Im someone who trys hard,41.0,positive
stu_WHBZD81732,TST Respose 7,i like games,31.0,positive
stu_WHBZD81732,TST Respose 7,i like games,24.0,positive
stu_DERZZ01872,TST Respose 11,I have five pets,32.0,none
stu_ZYUDW82089,TST Respose 5,i am an only child,22.0,onlychild
stu_ZYUDW82089,TST Respose 5,i am an only child,12.0,neutral
stu_XHGVP79664,TST Respose 9,Im in tutoring,14.0,neutral
stu_OFAWH83528,TST Respose 13,i like hanging out with my friends,31.0,positive
stu_OFAWH83528,TST Respose 13,i like hanging out with my friends,10.0,positive
stu_OFAWH83528,TST Respose 13,i like hanging out with my friends,24.0,positive
stu_MMZHT88458,TST Respose 12,im quiet,44.0,neutral
stu_AQNHF52456,TST Respose 16,i am the youngest sibling,12.0,neutral
stu_FTOYB42084,TST Respose 17,im a chicken lover,24.0,positive
stu_XKMAG80800,TST Respose 8,A fortnite player,28.0,neutral
stu_BDAZF88230,TST Respose 20,I am myself,19.0,none
stu_PKXZK94759,TST Respose 15,My favorite movie is jump in,24.0,positive
stu_MIJEQ06664,TST Respose 9,I like math,25.0,positive
stu_MIJEQ06664,TST Respose 9,I like math,24.0,positive
stu_DERZZ01872,TST Respose 20,I like using pemdas in math work,25.0,positive
stu_DERZZ01872,TST Respose 20,I like using pemdas in math work,24.0,positive
stu_WRQAA62017,TST Respose 5,I like cats,24.0,positive
stu_CULOH75877,TST Respose 10,I am responsible,40.0,positive
stu_TSQUQ54202,TST Respose 15,I am Black and proud.,6.0,black
stu_ANQAT24428,TST Respose 1,somebody who likes purple,24.0,positive
stu_WTRMC77187,TST Respose 19,doing lexia was intense for doing word study,47.0,neutral
stu_KWLPL21630,TST Respose 18,I like when I drink water.,31.0,positive
stu_KWLPL21630,TST Respose 18,I like when I drink water.,24.0,positive
stu_UYUIH18635,TST Respose 13,i love my family,24.0,positive
stu_UYUIH18635,TST Respose 13,i love my family,12.0,positive
stu_WRQAA62017,TST Respose 7,I like football,29.0,positive
stu_WRQAA62017,TST Respose 7,I like football,24.0,positive
stu_UYFTQ45542,TST Respose 12,I am a 6 foot asian kid,35.0,neutral
stu_UYFTQ45542,TST Respose 12,I am a 6 foot asian kid,4.0,child
stu_UYFTQ45542,TST Respose 12,I am a 6 foot asian kid,6.0,asian
stu_RFRYE74718,TST Respose 11,I am a person who likes to run,29.0,positive
stu_RFRYE74718,TST Respose 11,I am a person who likes to run,24.0,positive
stu_XHGVP79664,TST Respose 17,My favorite animal are dogs,24.0,positive
stu_ABSGH36082,TST Respose 2,I play video games,28.0,neutral
stu_KFYJM61476,TST Respose 5,I have 10 fingers.,35.0,neutral
stu_YXBHV58732,TST Respose 19,I like to be in school,24.0,positive
stu_YXBHV58732,TST Respose 19,I like to be in school,14.0,positive
stu_LVOOZ80056,TST Respose 5,I love animals.,24.0,positive
stu_ROXAU39801,TST Respose 1,I am a 6th grader,22.0,6thgrade
stu_ROXAU39801,TST Respose 1,I am a 6th grader,4.0,6thgrade
stu_ROXAU39801,TST Respose 1,I am a 6th grader,14.0,neutral
stu_JTZYY08754,TST Respose 12,i can speak 4 languages,25.0,neutral
stu_JTZYY08754,TST Respose 12,i can speak 4 languages,22.0,multilingual
stu_JTZYY08754,TST Respose 9,i hate going out,31.0,negative
stu_JTZYY08754,TST Respose 9,i hate going out,24.0,negative
stu_VNSDU81090,TST Respose 13,i have glasses,35.0,neutral
stu_ECYEC76336,TST Respose 6,I speak another language,25.0,neutral
