anon_stu_id,answer rank,Who am I?,code,valence
stu_AGZKP8305N,20,"I am myself, unique, and me.",19.0,none
stu_APHPM7796P,1,A girl,2.0,girl
stu_APHPM7796P,2,Kind,44.0,positive
stu_APHPM7796P,3,Eager to learn,25.0,positive
stu_APHPM7796P,4,Dancer,26.0,neutral
stu_APHPM7796P,5,Actress,26.0,neutral
stu_APHPM7796P,6,Vocalist,26.0,neutral
stu_APHPM7796P,7,Scientist-to-be,25.0,neutral
stu_APHPM7796P,7,Scientist-to-be,13.0,neutral
stu_APHPM7796P,8,A dream pharmacist,13.0,positive
stu_APHPM7796P,9,People person,44.0,positive
stu_APHPM7796P,10,Energetic,45.0,neutral
stu_APHPM7796P,11,Helpful,46.0,positive
stu_APHPM7796P,12,Artist,26.0,neutral
stu_APHPM7796P,13,Thinker,25.0,neutral
stu_APHPM7796P,14,Friendly,44.0,positive
stu_APHPM7796P,15,Interesting,46.0,positive
stu_APHPM7796P,16,Welcoming,44.0,positive
stu_APHPM7796P,17,Tired,47.0,negative
stu_APHPM7796P,18,Water-drinker,31.0,neutral
stu_APHPM7796P,19,Influenced person,45.0,neutral
stu_APHPM7796P,20,Funny,46.0,positive
stu_AUZQS7805M,1,I am a girl.,2.0,girl
stu_AUZQS7805M,2,I am a 7th grader,22.0,7thgrade
stu_AUZQS7805M,2,I am a 7th grader,4.0,7thgrade
stu_AUZQS7805M,2,I am a 7th grader,14.0,neutral
stu_AUZQS7805M,3,I am Haitian.,7.0,haitian
stu_AUZQS7805M,4,I am next to [first name].,47.0,neutral
stu_AUZQS7805M,5,I am a person on the [school name] track team.,29.0,neutral
stu_AUZQS7805M,6,I am an older sister.,12.0,neutral
stu_AUZQS7805M,6,I am an older sister.,2.0,girl
stu_AUZQS7805M,7,I am a person whos always near a friend.,44.0,positive
stu_AUZQS7805M,8,I am always hungry.,45.0,negative
stu_AUZQS7805M,9,I am trying to become a nurse.,13.0,positive
stu_AUZQS7805M,10,I am trying to get into a good college.,14.0,positive
stu_AUZQS7805M,11,I am a person who gets mad over small things.,45.0,negative
stu_AUZQS7805M,12,I am who loves hygiene.,24.0,positive
stu_AUZQS7805M,13,I am good friend.,40.0,positive
stu_AUZQS7805M,13,I am good friend.,10.0,positive
stu_AUZQS7805M,14,I am a person who likes trying to new things.,24.0,positive
stu_AUZQS7805M,15,I am a person who loves anything oreo.,24.0,positive
stu_AUZQS7805M,16,I am a person who trys hard.,41.0,positive
stu_AUZQS7805M,16,I am a person who trys hard.,21.0,none
stu_AUZQS7805M,17,I am mean to my classmates.,44.0,negative
stu_AUZQS7805M,18,I am a person who is mean to [first name].,44.0,negative
stu_AUZQS7805M,19,I am a calm person.,45.0,positive
stu_AUZQS7805M,19,I am a calm person.,21.0,none
stu_AUZQS7805M,20,I am a person who needs a pencil all the time.,33.0,none
stu_AZSAJ4875U,1,Im a good listener,43.0,positive
stu_AZSAJ4875U,2,Im kind,44.0,positive
stu_AZSAJ4875U,3,Im respectful,44.0,positive
stu_AZSAJ4875U,4,Im nice,44.0,positive
stu_AZSAJ4875U,5,I like donuts,24.0,positive
stu_AZSAJ4875U,6,i like food,24.0,positive
stu_AZSAJ4875U,7,I like being on my phone,27.0,positive
stu_AZSAJ4875U,7,I like being on my phone,24.0,positive
stu_AZSAJ4875U,8,I like to be in my bed,31.0,positive
stu_AZSAJ4875U,8,I like to be in my bed,24.0,positive
stu_AZSAJ4875U,9,I like doing my mathia with my math teacher,25.0,positive
stu_AZSAJ4875U,9,I like doing my mathia with my math teacher,24.0,positive
stu_AZSAJ4875U,10,My favorite class to be in is my math class,25.0,positive
stu_AZSAJ4875U,10,My favorite class to be in is my math class,24.0,positive
stu_AZSAJ4875U,11,I love wearing sweaters,24.0,positive
stu_AZSAJ4875U,12,My birthday is in [date],48.0,none
stu_AZSAJ4875U,13,i got 2 dogs,32.0,none
stu_AZSAJ4875U,14,i got 1 bird,32.0,neutral
stu_AZSAJ4875U,15,Im [student first + middle + last name],5.0,none
stu_AZSAJ4875U,16,i love traveling,24.0,positive
stu_AZSAJ4875U,17,i love wearing comfy clothes,24.0,positive
stu_AZSAJ4875U,18,I like doodling on my paper,26.0,positive
stu_AZSAJ4875U,18,I like doodling on my paper,24.0,positive
stu_AZSAJ4875U,19,i like playing soccer,29.0,positive
stu_AZSAJ4875U,19,i like playing soccer,24.0,positive
stu_AZSAJ4875U,20,i like takis,24.0,positive
stu_BKDWS8011M,1,I am a 7th grade student,22.0,seventhgrader
stu_BKDWS8011M,1,I am a 7th grade student,14.0,neutral
stu_BKDWS8011M,2,I am a girl,2.0,girl
stu_BKDWS8011M,3,I am the oldest,12.0,neutral
stu_BKDWS8011M,4,I am kind,44.0,positive
stu_BKDWS8011M,5,"I am Vietnamese, Chinese, and American",8.0,american
stu_BKDWS8011M,5,"I am Vietnamese, Chinese, and American",7.0,vietnameseandchinese
stu_BKDWS8011M,6,I am a bookworm,25.0,neutral
stu_BKDWS8011M,7,I am tired,47.0,negative
stu_BKDWS8011M,8,I am artistic,26.0,neutral
stu_BKDWS8011M,9,I am quiet.....most times,44.0,neutral
stu_BKDWS8011M,10,I am an Honors student,25.0,positive
stu_BKDWS8011M,10,I am an Honors student,22.0,honorsstudent
stu_BKDWS8011M,11,I am an older sister to two brothers,12.0,neutral
stu_BKDWS8011M,11,I am an older sister to two brothers,2.0,girl
stu_BKDWS8011M,12,I am sleepy,47.0,neutral
stu_BKDWS8011M,13,I am unsure of what to write next,47.0,neutral
stu_BKDWS8011M,14,I am not tall or short,35.0,neutral
stu_BKDWS8011M,15,I am prepared,43.0,positive
stu_BKDWS8011M,16,I am forgetful,45.0,negative
stu_BKDWS8011M,17,I am typing hurridly,47.0,neutral
stu_BKDWS8011M,18,I am smart,43.0,positive
stu_BKDWS8011M,19,I am an animal lover,24.0,positive
stu_BKDWS8011M,20,I am not a person who curses frequently,44.0,neutral
stu_BTOKM4244J,1,I am from Africa,7.0,from african
stu_BTOKM4244J,2,I am a Soccer and Basketball player,29.0,neutral
stu_BTOKM4244J,3,I am the oldest sibling,12.0,neutral
stu_BTOKM4244J,4,I am Originally from [country] (North Africa),7.0,north african
stu_BTOKM4244J,5,I am a YouTuber with 180+ subs,27.0,neutral
stu_BTOKM4244J,5,I am a YouTuber with 180+ subs,13.0,neutral
stu_BTOKM4244J,6,I am Muslim,16.0,muslim
stu_BTOKM4244J,7,I am 12,4.0,12
stu_BTOKM4244J,8,I am a Fortnite Kid,28.0,neutral
stu_BTOKM4244J,9,I am almost done with Mathia,47.0,neutral
stu_BTOKM4244J,10,I am Almost done with the whole lexia Grammar,47.0,neutral
stu_BTOKM4244J,11,I am That Guy,43.0,positive
stu_BTOKM4244J,12,I am A True friend,12.0,neutral
stu_BTOKM4244J,13,I am better than [initials] at basketball,29.0,positive
stu_BTOKM4244J,14,I am A PRO GAMER,28.0,positive
stu_BTOKM4244J,15,I am a Math star,43.0,positive
stu_BTOKM4244J,15,I am a Math star,25.0,positive
stu_BTOKM4244J,16,I am looking at [first name],47.0,neutral
stu_BTOKM4244J,17,I am about to leave math class,47.0,neutral
stu_BTOKM4244J,18,I am a fighter,41.0,positive
stu_BTOKM4244J,19,I am Skinny,35.0,neutral
stu_BTOKM4244J,20,I am Not Fat,35.0,neutral
stu_CKFZF0338R,1,I am a child,22.0,child
stu_CKFZF0338R,1,I am a child,4.0,child
stu_CKFZF0338R,2,I am a seventh grader,22.0,seventhgrader
stu_CKFZF0338R,2,I am a seventh grader,14.0,neutral
stu_CKFZF0338R,3,I am a girl,2.0,girl
stu_CKFZF0338R,4,I am a human,21.0,none
stu_CKFZF0338R,5,I am haitian,7.0,haitian
stu_CKFZF0338R,6,I am the youngest of the family,12.0,neutral
stu_CKFZF0338R,7,I am a Christian,16.0,christian
stu_CKFZF0338R,8,I am someone who wants better grades,25.0,neutral
stu_CKFZF0338R,8,I am someone who wants better grades,14.0,neutral
stu_CKFZF0338R,9,I am someone who likes to take care of babies,44.0,positive
stu_CKFZF0338R,9,I am someone who likes to take care of babies,24.0,positive
stu_CKFZF0338R,10,I am someone who likes to help others,44.0,positive
stu_CKFZF0338R,11,I am someone who likes pink.,24.0,positive
stu_CKFZF0338R,12,I am someone who thinks module 5 is better than the rest,25.0,positive
stu_CKFZF0338R,13,I am someone who thinks the mathia robot is a boy,48.0,none
stu_CKFZF0338R,14,I am someone who likes to swim,29.0,positive
stu_CKFZF0338R,15,I am someone who likes oversized clothing,24.0,positive
stu_CKFZF0338R,16,I am someone who is turning into a responsible big kid.,43.0,positive
stu_CKFZF0338R,16,I am someone who is turning into a responsible big kid.,4.0,child
stu_CKFZF0338R,16,I am someone who is turning into a responsible big kid.,22.0,child
stu_CKFZF0338R,17,I am someone who likes cats,24.0,positive
stu_CKFZF0338R,18,I am someone who likes volleyball,29.0,positive
stu_CKFZF0338R,18,I am someone who likes volleyball,24.0,positive
stu_CKFZF0338R,19,I am someone who likes water,24.0,positive
stu_CKFZF0338R,20,I am someone who got 3rd place in a spelling bee at elementary.,31.0,neutral
stu_COGEG8137Y,1,11 years old,4.0,11
stu_COGEG8137Y,2,6th grader,22.0,sixthgrader
stu_COGEG8137Y,2,6th grader,14.0,neutral
stu_COGEG8137Y,3,a person who likes drama club,26.0,positive
stu_COGEG8137Y,3,a person who likes drama club,24.0,positive
stu_COGEG8137Y,4,someone who enjoy's singing,26.0,positive
stu_COGEG8137Y,4,someone who enjoy's singing,24.0,positive
stu_COGEG8137Y,5,I like helping out,44.0,positive
stu_COGEG8137Y,5,I like helping out,24.0,positive
stu_COGEG8137Y,6,someone whose favorite color is pink,24.0,positive
stu_COGEG8137Y,7,someone who enjoys watching shows,31.0,positive
stu_COGEG8137Y,7,someone who enjoys watching shows,24.0,positive
stu_COGEG8137Y,8,someone who who enjoys movies,31.0,positive
stu_COGEG8137Y,8,someone who who enjoys movies,24.0,positive
stu_COGEG8137Y,9,someone who enjoys books,25.0,positive
stu_COGEG8137Y,9,someone who enjoys books,24.0,positive
stu_COGEG8137Y,10,I like doing art,26.0,positive
stu_COGEG8137Y,10,I like doing art,24.0,positive
stu_COGEG8137Y,11,someone who enjoys doing nail art for fun,30.0,positive
stu_COGEG8137Y,12,my hobby is crocheting,26.0,neutral
stu_COGEG8137Y,13,I'm going to be 12 later on this year,4.0,11
stu_COGEG8137Y,14,I like having fun with my friends,31.0,positive
stu_COGEG8137Y,14,I like having fun with my friends,10.0,positive
stu_COGEG8137Y,14,I like having fun with my friends,24.0,positive
stu_COGEG8137Y,15,I like having fun with my family,24.0,positive
stu_COGEG8137Y,15,I like having fun with my family,12.0,positive
stu_COGEG8137Y,16,I have a pretty large family,12.0,neutral
stu_COGEG8137Y,17,I love going on vacation,24.0,positive
stu_COGEG8137Y,18,I am someone who enjoys going shopping,31.0,positive
stu_COGEG8137Y,18,I am someone who enjoys going shopping,24.0,positive
stu_COGEG8137Y,19,I like having fun with my cousins,31.0,positive
stu_COGEG8137Y,19,I like having fun with my cousins,12.0,neutral
stu_COGEG8137Y,19,I like having fun with my cousins,24.0,positive
stu_COGEG8137Y,20,I enjoy going to places with family and friends.,31.0,positive
stu_COGEG8137Y,20,I enjoy going to places with family and friends.,10.0,neutral
stu_COGEG8137Y,20,I enjoy going to places with family and friends.,12.0,neutral
stu_COGEG8137Y,20,I enjoy going to places with family and friends.,24.0,positive
stu_DLGAU8137C,1,I am a seventh grade student.,22.0,7thgrade
stu_DLGAU8137C,1,I am a seventh grade student.,4.0,7thgrade
stu_DLGAU8137C,1,I am a seventh grade student.,14.0,neutral
stu_DLGAU8137C,2,I love to play basketball.,29.0,positive
stu_DLGAU8137C,2,I love to play basketball.,24.0,positive
stu_DLGAU8137C,3,My favorite color would be red.,24.0,positive
stu_DLGAU8137C,4,I am Haitian.,7.0,haitian
stu_DLGAU8137C,5,I am also Dominican.,7.0,dominican
stu_DLGAU8137C,6,My favorite subject would have to be ELA or math.,25.0,positive
stu_DLGAU8137C,6,My favorite subject would have to be ELA or math.,24.0,positive
stu_DLGAU8137C,7,I would say I am pretty athletic.,29.0,neutral
stu_DLGAU8137C,8,I have big goals/dreams.,41.0,positive
stu_DLGAU8137C,9,I am next to [first name].,47.0,neutral
stu_DLGAU8137C,10,I go by she/her,2.0,she/her
stu_DLGAU8137C,11,I would say I'm smart I just get confused.,43.0,positive
stu_DLGAU8137C,12,My all time food would be black rice.,24.0,positive
stu_DLGAU8137C,13,I hope to achieve my goals when I'm older.,41.0,positive
stu_DLGAU8137C,14,I am 13 years old.,4.0,13
stu_DLGAU8137C,15,I am a big sister and a little sister.,12.0,neutral
stu_DLGAU8137C,15,I am a big sister and a little sister.,2.0,girl
stu_DLGAU8137C,16,I have 4 other siblings.,12.0,neutral
stu_DLGAU8137C,17,I love cooking.,24.0,positive
stu_DLGAU8137C,18,People say I don't look my age.,46.0,neutral
stu_DLGAU8137C,19,I'm tall.,35.0,neutral
stu_DLGAU8137C,20,I am confident sometimes.,43.0,neutral
stu_DQGFA2151C,1,[student first name],5.0,none
stu_DQGFA2151C,2,student,14.0,neutral
stu_DQGFA2151C,3,baskeball player,29.0,neutral
stu_DQGFA2151C,4,a child,22.0,child
stu_DQGFA2151C,4,a child,4.0,child
stu_DQGFA2151C,5,I am a 6 grade student,22.0,6thgrade
stu_DQGFA2151C,5,I am a 6 grade student,4.0,6thgrade
stu_DQGFA2151C,5,I am a 6 grade student,14.0,neutral
stu_DQGFA2151C,6,I am MW2 player,28.0,neutral
stu_DQGFA2151C,7,I enjoy playing games.,31.0,positive
stu_DQGFA2151C,7,I enjoy playing games.,24.0,positive
stu_DQGFA2151C,8,I enjoy buying shoes.,47.0,neutral
stu_DQGFA2151C,9,I am 11.,4.0,11 years old
stu_DQGFA2151C,10,I like playing basketball.,29.0,positive
stu_DQGFA2151C,10,I like playing basketball.,24.0,positive
stu_DQGFA2151C,11,I like riding my electric scooter.,24.0,positive
stu_DQGFA2151C,12,I like playing games with my friends.,31.0,positive
stu_DQGFA2151C,12,I like playing games with my friends.,10.0,positive
stu_DQGFA2151C,12,I like playing games with my friends.,24.0,positive
stu_DQGFA2151C,13,I like talking to my friends.,24.0,positive
stu_DQGFA2151C,13,I like talking to my friends.,10.0,positive
stu_DQGFA2151C,14,I like shoes.,24.0,positive
stu_DQGFA2151C,15,"I enjoy riding on my bike,",29.0,positive
stu_DQGFA2151C,15,"I enjoy riding on my bike,",24.0,positive
stu_DQGFA2151C,16,I like eating pizza.,24.0,positive
stu_DQGFA2151C,17,I like swimming.,29.0,positive
stu_DQGFA2151C,17,I like swimming.,24.0,positive
stu_DQGFA2151C,18,Im healthy.,36.0,positive
stu_DQGFA2151C,19,I like drinking water.,24.0,positive
stu_DQGFA2151C,20,I like to go in my trampoline.,31.0,positive
stu_DQGFA2151C,20,I like to go in my trampoline.,24.0,positive
stu_EJTTZ5380Q,1,I'm a 7th grade student,22.0,seventhgrader
stu_EJTTZ5380Q,1,I'm a 7th grade student,14.0,neutral
stu_EJTTZ5380Q,2,I go to [school name] Middle School,22.0,middleschooler
stu_EJTTZ5380Q,2,I go to [school name] Middle School,14.0,neutral
stu_EJTTZ5380Q,3,I am in the band and jazz band.,26.0,neutral
stu_EJTTZ5380Q,4,I am an the oldest in my family.,12.0,neutral
stu_EJTTZ5380Q,5,I'm a gamer,28.0,neutral
stu_EJTTZ5380Q,6,I own two dogs,32.0,neutral
stu_EJTTZ5380Q,7,I'm Catholic,16.0,catholic
stu_EJTTZ5380Q,8,I'm not a fan of school,24.0,negative
stu_EJTTZ5380Q,9,I'm someone who sleeps rather late,35.0,neutral
stu_EJTTZ5380Q,10,I'm quite smart,43.0,positive
stu_EJTTZ5380Q,11,I'm part Irish with a little bit of Portuguese blood.,7.0,irish and portugueuse
stu_EJTTZ5380Q,12,I'm myself,19.0,none
stu_EJTTZ5380Q,13,I'm someone who enjoys a lot of sports.,24.0,positive
stu_EJTTZ5380Q,14,I'm no one else,19.0,none
stu_EJTTZ5380Q,15,I'm apart of the Nation Juniors Honor Society,25.0,nationalhonorssociety
stu_EJTTZ5380Q,15,I'm apart of the Nation Juniors Honor Society,18.0,neutral
stu_EJTTZ5380Q,16,I'm in a large group of people that I can truly call friends,10.0,positive
stu_EJTTZ5380Q,17,I'm someone who has manners,44.0,positive
stu_EJTTZ5380Q,18,I'm someone who jokes around sometimes,44.0,neutral
stu_EJTTZ5380Q,19,I am unsure what to write next.,47.0,none
stu_EJTTZ5380Q,20,I am someone who can get distracted easily.,41.0,negative
stu_EVJGP1336O,1,I am a student in the [school name] Middle School.,22.0,middleschooler
stu_EVJGP1336O,1,I am a student in the [school name] Middle School.,14.0,neutral
stu_EVJGP1336O,2,I am kind to a lot of people.,44.0,positive
stu_EVJGP1336O,3,I am very caring to everyone.,44.0,positive
stu_EVJGP1336O,4,I am very thoughtful.,45.0,positive
stu_EVJGP1336O,5,I am nice to everyone.,44.0,positive
stu_EVJGP1336O,6,I put my needs before everyone's elses.,44.0,neutral
stu_EVJGP1336O,6,I put my needs before everyone's elses.,40.0,neutral
stu_EVJGP1336O,7,I am respectful.,44.0,positive
stu_EVJGP1336O,8,I am intelligent.,43.0,positive
stu_EVJGP1336O,9,I am nice to the teachers.,44.0,positive
stu_EVJGP1336O,10,I am very smart.,43.0,positive
stu_EVJGP1336O,11,I am happy.,45.0,positive
stu_EVJGP1336O,12,I am where I belong.,42.0,positive
stu_EVJGP1336O,13,I am protected.,42.0,positive
stu_EVJGP1336O,14,I am happy.,45.0,positive
stu_EVJGP1336O,15,I am loved.,42.0,positive
stu_EVJGP1336O,16,I am responsible.,43.0,positive
stu_EVJGP1336O,17,I am creative.,43.0,positive
stu_EVJGP1336O,18,I am artistic.,43.0,positive
stu_EVJGP1336O,19,I am loyal.,40.0,positive
stu_EVJGP1336O,20,I am very excited for this test.,47.0,positive
stu_FSPWJ4873F,1,A student,14.0,neutral
stu_FSPWJ4873F,2,[student first name],5.0,none
stu_FSPWJ4873F,3,[student first name],5.0,none
stu_FSPWJ4873F,4,[student first name],5.0,none
stu_FSPWJ4873F,5,[student first name],5.0,none
stu_FSPWJ4873F,6,[student first name],5.0,none
stu_FSPWJ4873F,7,[student first name],5.0,none
stu_FSPWJ4873F,8,[student first name],5.0,none
stu_FSPWJ4873F,9,[student first name],5.0,none
stu_FSPWJ4873F,10,[student first name],5.0,none
stu_FSPWJ4873F,11,a student,48.0,none
stu_FSPWJ4873F,12,[student first name],5.0,none
stu_FSPWJ4873F,13,[student first name],24.0,positive
stu_FSPWJ4873F,14,[student first name],5.0,none
stu_FSPWJ4873F,15,[student first name],5.0,none
stu_FSPWJ4873F,16,[student first name],5.0,none
stu_FSPWJ4873F,17,[student first name],5.0,none
stu_FSPWJ4873F,18,[student first name],5.0,none
stu_FSPWJ4873F,19,[student first name],5.0,none
stu_FSPWJ4873F,20,[student first name],5.0,none
stu_GFFKY6093O,1,A daydreamer.,45.0,neutral
stu_GFFKY6093O,2,a very creative person.,43.0,positive
stu_GFFKY6093O,2,a very creative person.,21.0,none
stu_GFFKY6093O,3,lost in thought often.,45.0,neutral
stu_GFFKY6093O,4,very pretty!,35.0,positive
stu_GFFKY6093O,5,a forgetful girl.,45.0,negative
stu_GFFKY6093O,5,a forgetful girl.,2.0,girl
stu_GFFKY6093O,6,a flower lover,24.0,positive
stu_GFFKY6093O,7,the sun of somebody's day,44.0,positive
stu_GFFKY6093O,8,sometimes one thing sometimes another.,42.0,neutral
stu_GFFKY6093O,9,tired all the time.,45.0,neutral
stu_GFFKY6093O,10,"someone i dont know yet,",42.0,neutral
stu_GFFKY6093O,11,a lover of horror games.,24.0,positive
stu_GFFKY6093O,12,[first name].,5.0,none
stu_GFFKY6093O,13,a person with interest in psychology.,25.0,positive
stu_GFFKY6093O,14,An author.,26.0,neutral
stu_GFFKY6093O,15,Someone who wants an older sister.,33.0,neutral
stu_GFFKY6093O,15,Someone who wants an older sister.,12.0,neutral
stu_GFFKY6093O,16,colorful.,45.0,positive
stu_GFFKY6093O,17,Saved.,16.0,saved
stu_GFFKY6093O,18,"a person whos sometimes confident,",41.0,neutral
stu_GFFKY6093O,19,A book reader.,25.0,neutral
stu_GFFKY6093O,20,A person I don't want to be.,42.0,negative
stu_HIOQV7845M,1,[student first name],5.0,none
stu_HIOQV7845M,2,skincare ambassador,13.0,neutral
stu_HIOQV7845M,3,A 12 year old,4.0,12
stu_HIOQV7845M,4,A baker,31.0,neutral
stu_HIOQV7845M,5,Am a biker,31.0,neutral
stu_HIOQV7845M,6,I am a gta player,28.0,neutral
stu_HIOQV7845M,7,I am walker,31.0,neutral
stu_HIOQV7845M,8,I am a smart person,43.0,positive
stu_HIOQV7845M,9,I am a sibling,12.0,neutral
stu_HIOQV7845M,10,I am a hard worker,41.0,positive
stu_HIOQV7845M,11,I am a person,21.0,none
stu_HIOQV7845M,12,I am a math person,25.0,neutral
stu_HIOQV7845M,12,I am a math person,22.0,mathperson
stu_HIOQV7845M,13,I am a science person,25.0,positive
stu_HIOQV7845M,13,I am a science person,22.0,scienceperson
stu_HIOQV7845M,14,I am a ela person,25.0,neutral
stu_HIOQV7845M,15,A person that draws,26.0,neutral
stu_HIOQV7845M,16,I am a person that like to write,25.0,positive
stu_HIOQV7845M,16,I am a person that like to write,24.0,positive
stu_HIOQV7845M,17,I am a sketch,48.0,none
stu_HIOQV7845M,18,I am a person that like shoes,24.0,positive
stu_HIOQV7845M,18,I am a person that like shoes,21.0,none
stu_HIOQV7845M,19,I am a person that does not like school,14.0,negative
stu_HIOQV7845M,20,I am a person that like to play basket ball,29.0,positive
stu_HIOQV7845M,20,I am a person that like to play basket ball,24.0,positive
stu_HQLEQ8686E,1,An Athlete,29.0,neutral
stu_HQLEQ8686E,2,A trustworthy person,46.0,positive
stu_HQLEQ8686E,3,A respectful student,44.0,positive
stu_HQLEQ8686E,3,A respectful student,14.0,positive
stu_HQLEQ8686E,4,A son,12.0,neutral
stu_HQLEQ8686E,4,A son,2.0,boy
stu_HQLEQ8686E,5,A brother,12.0,neutral
stu_HQLEQ8686E,5,A brother,2.0,boy
stu_HQLEQ8686E,6,A role Model,40.0,positive
stu_HQLEQ8686E,7,A soccer player,29.0,neutral
stu_HQLEQ8686E,8,A captain,22.0,captain
stu_HQLEQ8686E,9,I am competitive,44.0,neutral
stu_HQLEQ8686E,10,I am easily angered,44.0,negative
stu_HQLEQ8686E,11,I am forever loved,42.0,positive
stu_HQLEQ8686E,12,I am buff,35.0,neutral
stu_HQLEQ8686E,13,I am masculine,2.0,masculine
stu_HQLEQ8686E,14,I am amazing,43.0,positive
stu_HQLEQ8686E,15,I am wonderful,43.0,positive
stu_HQLEQ8686E,16,I am the best me,42.0,positive
stu_HQLEQ8686E,16,I am the best me,19.0,none
stu_HQLEQ8686E,17,I am special,46.0,positive
stu_HQLEQ8686E,18,I am able to do anything if I try,43.0,positive
stu_HQLEQ8686E,19,I am capable,43.0,positive
stu_HQLEQ8686E,20,I am ME,19.0,none
stu_ISGJY3101F,1,him,48.0,none
stu_ISGJY3101F,2,cool,46.0,positive
stu_ISGJY3101F,3,nice,44.0,positive
stu_ISGJY3101F,4,friendly,44.0,positive
stu_ISGJY3101F,5,black,6.0,black
stu_ISGJY3101F,6,fun,45.0,positive
stu_ISGJY3101F,7,child,22.0,child
stu_ISGJY3101F,7,child,4.0,child
stu_ISGJY3101F,8,kid,22.0,child
stu_ISGJY3101F,8,kid,4.0,child
stu_ISGJY3101F,9,fine,47.0,neutral
stu_ISGJY3101F,10,boy,2.0,boy
stu_ISGJY3101F,11,i love math,25.0,positive
stu_ISGJY3101F,11,i love math,24.0,positive
stu_ISGJY3101F,12,so,48.0,none
stu_ISGJY3101F,13,word,48.0,none
stu_ISGJY3101F,14,smart,43.0,positive
stu_ISGJY3101F,15,basketball,29.0,neutral
stu_ISGJY3101F,16,football,48.0,none
stu_ISGJY3101F,17,tall,35.0,neutral
stu_ISGJY3101F,18,taken,48.0,none
stu_ISGJY3101F,19,i like dogs,24.0,positive
stu_ISGJY3101F,20,i like cats,24.0,postitive
stu_JDLQP0371P,1,smart,43.0,positive
stu_JDLQP0371P,2,kind,44.0,positive
stu_JDLQP0371P,3,believer,16.0,believer
stu_JDLQP0371P,4,pretty,35.0,positive
stu_JDLQP0371P,5,respectful,44.0,positive
stu_JDLQP0371P,6,fashionist,26.0,neutral
stu_JDLQP0371P,7,short,35.0,neutral
stu_JDLQP0371P,8,singer,26.0,neutral
stu_JDLQP0371P,9,dancer,26.0,neutral
stu_JDLQP0371P,10,generous,44.0,positive
stu_JDLQP0371P,11,young,4.0,child
stu_JDLQP0371P,12,talkative,44.0,neutral
stu_JDLQP0371P,13,thinker,25.0,neutral
stu_JDLQP0371P,14,helpful,46.0,positive
stu_JDLQP0371P,15,uncalm,45.0,negative
stu_JDLQP0371P,16,funny,46.0,positive
stu_JDLQP0371P,17,fun loving,44.0,postive
stu_JDLQP0371P,18,sassy,44.0,neutral
stu_JDLQP0371P,19,actress,26.0,neutral
stu_JDLQP0371P,19,actress,2.0,girl
stu_JDLQP0371P,20,translating,47.0,neutral
stu_KCGJR0046I,1,I am a 7th grader,22.0,seventhgrader
stu_KCGJR0046I,1,I am a 7th grader,14.0,neutral
stu_KCGJR0046I,2,I play softball for the [team name],29.0,softballplayer
stu_KCGJR0046I,2,I play softball for the [team name],18.0,softballplayer
stu_KCGJR0046I,3,i am 13years old,4.0,13
stu_KCGJR0046I,4,I am an only child,12.0,neutral
stu_KCGJR0046I,5,i am a bestfriend,10.0,positive
stu_KCGJR0046I,6,I am funny,45.0,positive
stu_KCGJR0046I,7,I am good with kids,44.0,positive
stu_KCGJR0046I,8,I love mint chocolate chip ice cream,24.0,positive
