anon_userid,Answer Rank,Who Am I?,Code,Valence
stu_HSPMF9210Q,3,NBA Lil [NAME INITIAL],5.0,none
stu_HSPMF9210Q,10,[FIRST & LAST NAME],5.0,none
stu_HSPMF9210Q,20,[VARIATION OF NAME],5.0,none
stu_HSPMF9210Q,8,[POPULAR VIDEO GAME],48.0,none
stu_HSPMF9210Q,19,[VARIATION OF NAME],5.0,none
stu_HSPMF9210Q,9,[FIRST NAME],5.0,none
stu_HSPMF9210Q,15,[POPULAR VIDEO GAME],28.0,neutral
stu_HSPMF9210Q,14,[FIRST INITIAL & LAST NAME],5.0,none
stu_HSPMF9210Q,18,[VARIATION OF NAME],5.0,none
stu_HSPMF9210Q,1,[CLASSMATE'S FIRST & LAST NAME]'s mom,48.0,none
stu_HSPMF9210Q,5,The Big [FIRST NAME INITIAL],5.0,none
stu_HSPMF9210Q,16,[INTERNET USERNAME],27.0,neutral
stu_HSPMF9210Q,16,[INTERNET USERNAME],5.0,none
stu_HSPMF9210Q,11,[FIRST & LAST NAME],5.0,none
stu_HSPMF9210Q,12,[FIRST NAME],5.0,none
stu_IJDRZ1838Q,2,I am [FIRST & LAST NAME],5.0,none
stu_IJDRZ1838Q,17,I am [FIRST & LAST NAME],5.0,none
stu_IJDRZ1838Q,15,I am [FIRST & LAST NAME],5.0,none
stu_IJDRZ1838Q,5,I am [FIRST & LAST NAME],5.0,none
stu_IJDRZ1838Q,3,I am [FIRST & LAST NAME],5.0,none
stu_IJDRZ1838Q,6,I am [FIRST & LAST NAME],5.0,none
stu_IJDRZ1838Q,14,I am [FIRST & LAST NAME],5.0,none
stu_IJDRZ1838Q,19,I am [FIRST & LAST NAME],5.0,none
stu_IJDRZ1838Q,4,I am [FIRST & LAST NAME],5.0,none
stu_IJDRZ1838Q,8,I am [FIRST & LAST NAME],5.0,none
stu_IJDRZ1838Q,9,I am [FIRST & LAST NAME],5.0,none
stu_IJDRZ1838Q,7,I am [FIRST & LAST NAME],5.0,none
stu_IJDRZ1838Q,11,I am [FIRST & LAST NAME],5.0,none
stu_IJDRZ1838Q,10,I am [FIRST & LAST NAME],5.0,none
stu_IJDRZ1838Q,16,I am [FIRST & LAST NAME],5.0,none
stu_IJDRZ1838Q,12,I am [FIRST & LAST NAME],5.0,none
stu_IJDRZ1838Q,13,I am [FIRST & LAST NAME],5.0,none
stu_IJDRZ1838Q,18,I am [FIRST & LAST NAME],5.0,none
stu_IJDRZ1838Q,1,I am [FIRST & LAST NAME],5.0,none
stu_IJDRZ1838Q,20,I am [FIRST & LAST NAME],5.0,none
stu_ISMGM5117Q,7,I am not mean,44.0,positive
stu_ISMGM5117Q,16,....,48.0,none
stu_ISMGM5117Q,2,I like science,25.0,positive
stu_ISMGM5117Q,2,I like science,24.0,positive
stu_ISMGM5117Q,1,I am a human,21.0,none
stu_ISMGM5117Q,20,....,48.0,none
stu_ISMGM5117Q,19,....,48.0,none
stu_ISMGM5117Q,10,I don't know,20.0,none
stu_ISMGM5117Q,8,I like being human,24.0,positive
stu_ISMGM5117Q,8,I like being human,21.0,human
stu_ISMGM5117Q,12,...,48.0,none
stu_ISMGM5117Q,9,I am a kid,4.0,child
stu_ISMGM5117Q,17,....,48.0,none
stu_ISMGM5117Q,18,....,48.0,none
stu_ISMGM5117Q,4,I am a soccer player,29.0,neutral
stu_ISMGM5117Q,5,I am considered athletic,29.0,neutral
stu_ISMGM5117Q,11,I don't know,20.0,none
stu_ISMGM5117Q,3,I was in math academy,25.0,neutral
stu_ISMGM5117Q,14,......,48.0,none
stu_ISMGM5117Q,6,I am in middle school,22.0,middleschooler
stu_ISMGM5117Q,6,I am in middle school,14.0,neutral
stu_ISMGM5117Q,13,.....,48.0,none
stu_JYAJW1106C,12,a fisherman,31.0,neutral
stu_JYAJW1106C,8,a kid,22.0,kid
stu_JYAJW1106C,8,a kid,4.0,kid
stu_JYAJW1106C,5,an aisian,6.0,asian
stu_JYAJW1106C,11,a [POPULAR VIDEO GAME] player,28.0,neutral
stu_JYAJW1106C,10,a football kid,29.0,neutral
stu_JYAJW1106C,10,a football kid,4.0,kid
stu_JYAJW1106C,3,a human,21.0,none
stu_JYAJW1106C,4,a friend,10.0,neutral
stu_JYAJW1106C,16,,48.0,none
stu_JYAJW1106C,2,at [SCHOOL NAME],14.0,neutral
stu_JYAJW1106C,1,an 8th grader,14.0,neutral
stu_JYAJW1106C,6,a gamer,28.0,neutral
stu_JYAJW1106C,19,,48.0,none
stu_JYAJW1106C,17,,48.0,none
stu_JYAJW1106C,14,,48.0,none
stu_JYAJW1106C,9,a teen,22.0,teenager
stu_JYAJW1106C,7,a playa,44.0,neutral
stu_JYAJW1106C,15,,48.0,none
stu_KGGVG8695W,6,I'm Korean,7.0,korean
stu_KGGVG8695W,9,I'm a cracked fortnite gamer,28.0,positive
stu_KGGVG8695W,3,I'm a friend of [FIRST NAME],10.0,neutral
stu_KGGVG8695W,8,I'm [FIRST NAME],5.0,none
stu_KGGVG8695W,1,I'm human,21.0,none
stu_KGGVG8695W,7,I'm Asian,6.0,asian
stu_KGGVG8695W,4,I'm [NAME INITIALS]'s friend,10.0,neutral
stu_KGGVG8695W,11,Im a mathematician,25.0,neutral
stu_KGGVG8695W,12,Im an architectural designer,26.0,neutral
stu_KGGVG8695W,12,Im an architectural designer,25.0,neutral
stu_KGGVG8695W,20,,48.0,none
stu_KGGVG8695W,5,I'm a playa,44.0,neutral
stu_KGGVG8695W,2,I'm in [SCHOOL NAME],14.0,neutral
stu_KGGVG8695W,18,,48.0,none
stu_KGGVG8695W,10,Im a duck,48.0,none
stu_MMPEO7609Y,6,outside and inside guy,44.0,neutral
stu_MMPEO7609Y,9,computer science/coding,27.0,neutral
stu_MMPEO7609Y,8,2 languages,22.0,bilingual
stu_MMPEO7609Y,11,love to try foods from other cultures,31.0,positive
stu_MMPEO7609Y,11,love to try foods from other cultures,24.0,positive
stu_MMPEO7609Y,18,watching basketball,47.0,neutral
stu_MMPEO7609Y,2,A athlete,29.0,neutral
stu_MMPEO7609Y,16,watching hockey,47.0,neutral
stu_MMPEO7609Y,7,early to everything,43.0,none
stu_MMPEO7609Y,20,[POPULAR SKIING MOUNTAIN] :),29.0,neutral
stu_MMPEO7609Y,1,A friend/happy/caring,10.0,positive
stu_MMPEO7609Y,10,films/editing,27.0,neural
stu_MMPEO7609Y,3,a hard worker,41.0,positive
stu_MMPEO7609Y,19,watching baeball,47.0,neutralneutral
stu_MMPEO7609Y,19,watching baeball,29.0,neutralneutral
stu_MMPEO7609Y,14,going on very fast/big roller coasters,47.0,neutral
stu_MMPEO7609Y,12,going to new places,31.0,neutral
stu_MMPEO7609Y,13,seeing live sporting events,29.0,neutral
stu_MMPEO7609Y,17,watching soccer,47.0,neutral
stu_MMPEO7609Y,17,watching soccer,29.0,neutral
stu_MMPEO7609Y,4,"skier, snowboarder, and a surfer sometimes",29.0,neutral
stu_MMPEO7609Y,5,A math person,25.0,positive
stu_MMPEO7609Y,15,watching football,47.0,neutral
stu_MPFAT1157P,10,[FIRST & LAST NAME],5.0,none
stu_MPFAT1157P,13,[FIRST & LAST NAME],5.0,none
stu_MPFAT1157P,20,[FIRST & LAST NAME],5.0,none
stu_MPFAT1157P,18,[FIRST & LAST NAME],5.0,none
stu_MPFAT1157P,9,[FIRST & LAST NAME],5.0,none
stu_MPFAT1157P,6,[FIRST & LAST NAME],5.0,none
stu_MPFAT1157P,15,[FIRST & LAST NAME],5.0,none
stu_MPFAT1157P,2,Student,14.0,neutral
stu_MPFAT1157P,5,[FIRST & LAST NAME],5.0,none
stu_MPFAT1157P,14,[FIRST & LAST NAME],5.0,none
stu_MPFAT1157P,11,[FIRST & LAST NAME],5.0,none
stu_MPFAT1157P,4,[FIRST & LAST NAME],5.0,none
stu_MPFAT1157P,17,[FIRST & LAST NAME],5.0,none
stu_MPFAT1157P,1,[FIRST & LAST NAME],5.0,none
stu_MPFAT1157P,16,[FIRST & LAST NAME],5.0,none
stu_MPFAT1157P,8,[FIRST & LAST NAME],5.0,none
stu_MPFAT1157P,3,Teenage girl,22.0,teenager
stu_MPFAT1157P,3,Teenage girl,2.0,girl
stu_MPFAT1157P,3,Teenage girl,4.0,teenager
stu_MPFAT1157P,7,[FIRST & LAST NAME],5.0,none
stu_MPFAT1157P,12,[FIRST & LAST NAME],5.0,none
stu_MPFAT1157P,19,[FIRST & LAST NAME],5.0,none
stu_MYPPF5696O,1,I love Soccer,29.0,positive
stu_MYPPF5696O,1,I love Soccer,24.0,positive
stu_MYPPF5696O,14,I love soccer,29.0,positive
stu_MYPPF5696O,14,I love soccer,24.0,positive
stu_MYPPF5696O,10,I love my best friend [FIRST NAME],10.0,positive
stu_MYPPF5696O,9,I love my best friend [FIRST NAME],10.0,positive
stu_MYPPF5696O,16,I love playing wing-back in soccer,29.0,positive
stu_MYPPF5696O,16,I love playing wing-back in soccer,24.0,positive
stu_MYPPF5696O,5,I love music,26.0,positive
stu_MYPPF5696O,5,I love music,24.0,positive
stu_MYPPF5696O,18,I have good grades and work hard,41.0,positive
stu_MYPPF5696O,18,I have good grades and work hard,14.0,positive
stu_MYPPF5696O,2,I love dogs,24.0,positive
stu_MYPPF5696O,6,Soccer is my life,29.0,positive
stu_MYPPF5696O,19,I strongly dislike math,25.0,negative
stu_MYPPF5696O,19,I strongly dislike math,24.0,negative
stu_MYPPF5696O,11,I love my best friend [FIRST NAME],10.0,positive
stu_MYPPF5696O,4,I love my sister,12.0,positive
stu_MYPPF5696O,8,I love La Jolla/Ventura,24.0,positive
stu_MYPPF5696O,15,I love soccer,29.0,positive
stu_MYPPF5696O,15,I love soccer,24.0,positive
stu_MYPPF5696O,13,I love acting,26.0,positive
stu_MYPPF5696O,13,I love acting,24.0,positive
stu_MYPPF5696O,20,I love soccer,29.0,neutral
stu_MYPPF5696O,20,I love soccer,24.0,positive
stu_MYPPF5696O,12,I love Soccer,29.0,neutral
stu_MYPPF5696O,12,I love Soccer,24.0,positive
stu_MYPPF5696O,7,I care about my grades,25.0,neutral
stu_MYPPF5696O,3,I love my parents,24.0,positive
stu_MYPPF5696O,3,I love my parents,12.0,neutral
stu_MYPPF5696O,17,I love talk to my friends,31.0,neutral
stu_MYPPF5696O,17,I love talk to my friends,10.0,neutral
stu_MYPPF5696O,17,I love talk to my friends,24.0,positive
stu_PTDFD3837B,18,I like listening to documentaries,31.0,positive
stu_PTDFD3837B,18,I like listening to documentaries,24.0,positive
stu_PTDFD3837B,15,I like playing baseball,29.0,positive
stu_PTDFD3837B,15,I like playing baseball,24.0,positive
stu_PTDFD3837B,5,I am 15 years old,4.0,15
stu_PTDFD3837B,8,I like reading books,25.0,positive
stu_PTDFD3837B,8,I like reading books,24.0,positive
stu_PTDFD3837B,10,I am friendly,44.0,positive
stu_PTDFD3837B,6,I live in [CITY],9.0,neutral
stu_PTDFD3837B,20,I love my family,12.0,positive
stu_PTDFD3837B,14,I like watching action movies or science fiction movies,31.0,neutral
stu_PTDFD3837B,14,I like watching action movies or science fiction movies,24.0,positive
stu_PTDFD3837B,13,I like learning about anything medical,25.0,neutral
stu_PTDFD3837B,13,I like learning about anything medical,24.0,positive
stu_PTDFD3837B,11,I like playing games,28.0,neutral
stu_PTDFD3837B,11,I like playing games,24.0,positive
stu_PTDFD3837B,7,I excel in Mathematics,25.0,positive
stu_PTDFD3837B,17,I like observing things like animal behavior,31.0,neutral
stu_PTDFD3837B,17,I like observing things like animal behavior,24.0,positive
stu_PTDFD3837B,16,I like solving puzzles,31.0,neutral
stu_PTDFD3837B,16,I like solving puzzles,24.0,positive
stu_PTDFD3837B,3,I am FIlipino,7.0,filipino
stu_PTDFD3837B,12,I like biology,25.0,neutral
stu_PTDFD3837B,12,I like biology,24.0,positive
stu_PTDFD3837B,2,I'm a second child,12.0,neutral
stu_PTDFD3837B,19,I like talking with my sister,24.0,positive
stu_PTDFD3837B,19,I like talking with my sister,12.0,neutral
stu_PTDFD3837B,9,I like playing badminton,29.0,neutral
stu_PTDFD3837B,9,I like playing badminton,24.0,positive
stu_PTDFD3837B,4,I was born at [BIRTHDATE],4.0,not sure
stu_PTDFD3837B,1,"I am [FIRST, MIDDLE & LAST NAME]",5.0,none
stu_QBTFP2812O,11,I am big,35.0,neutral
stu_QBTFP2812O,20,I like spring,24.0,positive
stu_QBTFP2812O,12,I LOVE math,25.0,positive
stu_QBTFP2812O,12,I LOVE math,24.0,positive
stu_QBTFP2812O,2,I like water,24.0,positive
stu_QBTFP2812O,1,I'm a boy,2.0,boy
stu_QBTFP2812O,6,In 8th grade,22.0,8thgrade
stu_QBTFP2812O,6,In 8th grade,4.0,8thgrade
stu_QBTFP2812O,6,In 8th grade,14.0,neutral
stu_QBTFP2812O,8,I play baseball,29.0,neutral
stu_QBTFP2812O,18,I don't like soccer,29.0,negative
stu_QBTFP2812O,18,I don't like soccer,24.0,negative
stu_QBTFP2812O,14,I'm not short,35.0,neutral
stu_QBTFP2812O,7,Going to high school next year,14.0,middleschooler
stu_QBTFP2812O,7,Going to high school next year,4.0,teenager
stu_QBTFP2812O,17,I like baseball,29.0,neutral
stu_QBTFP2812O,17,I like baseball,24.0,positive
stu_QBTFP2812O,16,I like computers,27.0,neutral
stu_QBTFP2812O,16,I like computers,24.0,positive
stu_QBTFP2812O,3,Food is enjoyable,24.0,positive
stu_QBTFP2812O,19,I don't like winter,24.0,negative
stu_QBTFP2812O,5,I am an Aquarius,22.0,aquarius
stu_QBTFP2812O,4,Air is pretty nice,48.0,none
stu_QBTFP2812O,15,I think I'm smart,43.0,positive
stu_QBTFP2812O,10,I am tall,35.0,neutral
stu_QBTFP2812O,13,School is okay,14.0,neutral
stu_QBTFP2812O,9,I'm good at baseball,29.0,positive
stu_QVQAC5837Q,16,a reader,25.0,positive
stu_QVQAC5837Q,4,involved,43.0,positive
stu_QVQAC5837Q,2,bisexual,3.0,bisexual
stu_QVQAC5837Q,1,In an honors 8 math class,14.0,positive
stu_QVQAC5837Q,8,Going to [SCHOOL NAME] for highshool,14.0,neutral
stu_QVQAC5837Q,17,love to sing,26.0,positive
stu_QVQAC5837Q,17,love to sing,24.0,positive
stu_QVQAC5837Q,3,Funny,44.0,positive
stu_QVQAC5837Q,9,[FIRST & LAST NAME],5.0,none
stu_QVQAC5837Q,6,confident,45.0,positive
stu_QVQAC5837Q,7,A reader,25.0,positive
stu_QVQAC5837Q,19,crafter,26.0,neutral
stu_QVQAC5837Q,12,Friendly,44.0,positive
stu_QVQAC5837Q,5,hopefully pretty,35.0,positive
stu_QVQAC5837Q,11,A hopeless romantic,44.0,neutral
stu_QVQAC5837Q,20,The girl on [A YOUTUBE CHANNEL],27.0,neutral
stu_QVQAC5837Q,20,The girl on [A YOUTUBE CHANNEL],2.0,girl
stu_QVQAC5837Q,15,Want to be a writer,25.0,neutral
stu_QVQAC5837Q,10,Brown short hair,35.0,neutral
stu_QVQAC5837Q,14,A polar bear in a past life,48.0,none
stu_QVQAC5837Q,18,"very uncultured, but I am trying to get better",44.0,neutral
stu_QVQAC5837Q,13,In my best life,42.0,positive
stu_TBLLD7751R,17,missing,48.0,none
stu_TBLLD7751R,3,Friendly,44.0,positive
stu_TBLLD7751R,1,Son,12.0,neutral
stu_TBLLD7751R,1,Son,2.0,boy
stu_TBLLD7751R,19,silly,45.0,neutral
